13426758 1 -16 156 -1232 8921 -63684 470058 | 40319 362815 3626194 39832606 476576815 6161552875 85472873492
13427568 1 -16 156 -1232 8921 -63684 470054 | 40319 362815 3626194 39832606 476576815 6161552875 85472873496
13678254 1 -16 157 -1250 9014 -62345 435117 | 40319 362815 3626193 39832503 476570602 6161264067 85461367267
32718564 1 -16 157 -1250 9014 -62345 433097 | 40319 362815 3626193 39832503 476570602 6161264067 85461369287
14567823 1 -16 154 -1166 7688 -46234 254167 | 40319 362815 3626196 39832782 476585968 6161922266 85485717761
14567832 1 -16 154 -1166 7688 -46234 254552 | 40319 362815 3626196 39832782 476585968 6161922266 85485717376
23815764 1 -16 157 -1248 8990 -63406 485282 | 40319 362815 3626193 39832501 476570338 6161244848 85460332594
25876314 1 -16 157 -1248 8990 -63406 486330 | 40319 362815 3626193 39832501 476570338 6161244848 85460331546
