class_id,size,representative,c8,c9,c10,c11,c12,c13,c14,Av8,Av9,Av10,Av11,Av12,Av13,Av14,cutoff
2413,8,23417586,1,-16,155,-1196,8268,-56631,,40319,362815,3626195,39832691,476580996,6161708907,,13
2414,8,23417685,1,-16,155,-1196,8280,,,40319,362815,3626195,39832691,476580984,,,12
2415,8,23417856,1,-16,154,-1160,7513,,,40319,362815,3626196,39832776,476585279,,,12
2416,8,23417865,1,-16,154,-1160,7506,,,40319,362815,3626196,39832776,476585286,,,12
2417,4,23418567,1,-16,154,-1160,7518,,,40319,362815,3626196,39832776,476585274,,,12
2418,8,23418576,1,-16,155,-1196,8274,,,40319,362815,3626195,39832691,476580990,,,12
2419,8,23418657,1,-16,155,-1196,8278,-56900,,40319,362815,3626195,39832691,476580986,6161707486,,13
2420,8,23418675,1,-16,154,-1161,7547,,,40319,362815,3626196,39832777,476585389,,,12
2421,8,23418756,1,-16,154,-1160,7512,,,40319,362815,3626196,39832776,476585280,,,12
2422,8,23456817,1,-16,156,-1233,9009,,,40319,362815,3626194,39832607,476576871,,,12
2423,8,23457186,1,-16,157,-1261,9463,-72342,,40319,362815,3626193,39832514,476571737,6161332031,,13
2424,8,23457816,1,-16,156,-1222,8556,-55751,,40319,362815,3626194,39832596,476575740,6161484947,,13
2425,8,23458167,1,-16,156,-1219,8439,,,40319,362815,3626194,39832593,476575425,,,12
2426,8,23458176,1,-16,156,-1222,8559,,,40319,362815,3626194,39832596,476575737,,,12
2427,8,23458617,1,-16,157,-1263,9536,,,40319,362815,3626193,39832516,476571952,,,12
2428,8,23458716,1,-16,156,-1220,8469,-53510,,40319,362815,3626194,39832594,476575539,6161473073,,13
2429,8,23461785,1,-16,157,-1253,9141,-65029,,40319,362815,3626193,39832506,476570907,6161281792,,13
2430,8,23461857,1,-16,158,-1290,9940,,,40319,362815,3626192,39832422,476566724,,,12
2431,8,23461875,1,-16,157,-1251,9040,-62585,,40319,362815,3626193,39832504,476570720,6161272081,,13
2432,8,23465817,1,-16,156,-1225,8673,,,40319,362815,3626194,39832599,476576055,,,12
2433,8,23467185,1,-16,157,-1250,9008,,,40319,362815,3626193,39832503,476570608,,,12
2434,8,23467815,1,-16,156,-1222,8613,,,40319,362815,3626194,39832596,476575683,,,12
2435,8,23468157,1,-16,158,-1282,9611,,,40319,362815,3626192,39832414,476565901,,,12
2436,8,23468175,1,-16,158,-1282,9623,,,40319,362815,3626192,39832414,476565889,,,12
2437,8,23468517,1,-16,158,-1289,9895,,,40319,362815,3626192,39832421,476566625,,,12
2438,8,23468715,1,-16,156,-1213,8232,,,40319,362815,3626194,39832587,476574768,,,12
2439,8,23471586,1,-16,158,-1284,9693,-73552,,40319,362815,3626192,39832416,476566107,6161083459,,13
2440,8,23471685,1,-16,158,-1284,9716,,,40319,362815,3626192,39832416,476566084,,,12
2441,8,23471856,1,-16,157,-1249,8989,,,40319,362815,3626193,39832502,476570483,,,12
2442,8,23471865,1,-16,157,-1249,8991,,,40319,362815,3626193,39832502,476570481,,,12
2443,8,23475186,1,-16,158,-1288,9845,,,40319,362815,3626192,39832420,476566531,,,12
2444,8,23475816,1,-16,158,-1289,9883,,,40319,362815,3626192,39832421,476566637,,,12
2445,8,23476185,1,-16,157,-1242,8677,,,40319,362815,3626193,39832495,476569787,,,12
2446,8,23476815,1,-16,156,-1213,8241,,,40319,362815,3626194,39832587,476574759,,,12
2447,8,23478156,1,-16,156,-1211,8168,-48885,,40319,362815,3626194,39832585,476574544,6161409805,,13
2448,8,23478165,1,-16,156,-1211,8168,-48822,,40319,362815,3626194,39832585,476574544,6161409742,,13
2449,8,23478516,1,-16,157,-1246,8843,,,40319,362815,3626193,39832499,476570197,,,12
2450,8,23478615,1,-16,156,-1213,8262,-51345,,40319,362815,3626194,39832587,476574738,6161420715,,13
2451,4,23481567,1,-16,156,-1219,8523,,,40319,362815,3626194,39832593,476575341,,,12
2452,8,23481576,1,-16,156,-1213,8256,,,40319,362815,3626194,39832587,476574744,,,12
2453,8,23481657,1,-16,156,-1213,8255,-51257,,40319,362815,3626194,39832587,476574745,6161421810,,13
2454,8,23481675,1,-16,156,-1216,8393,-54907,,40319,362815,3626194,39832590,476575039,6161438642,,13
2455,8,23481756,1,-16,156,-1216,8393,-54936,,40319,362815,3626194,39832590,476575039,6161438671,,13
2456,8,23481765,1,-16,156,-1222,8574,,,40319,362815,3626194,39832596,476575722,,,12
2457,8,23485167,1,-16,157,-1252,9110,-64666,,40319,362815,3626193,39832505,476570794,6161274500,,13
2458,8,23485176,1,-16,157,-1246,8831,,,40319,362815,3626193,39832499,476570209,,,12
2459,8,23485617,1,-16,157,-1250,8991,,,40319,362815,3626193,39832503,476570625,,,12
2460,8,23485716,1,-16,158,-1286,9778,-74851,,40319,362815,3626192,39832418,476566310,6161094729,,13
2461,8,23486157,1,-16,158,-1279,9505,-68947,,40319,362815,3626192,39832411,476565575,6161049786,,13
2462,8,23486175,1,-16,158,-1282,9635,,,40319,362815,3626192,39832414,476565877,,,12
2463,8,23486517,1,-16,157,-1247,8875,,,40319,362815,3626193,39832500,476570309,,,12
2464,8,23486715,1,-16,156,-1213,8252,,,40319,362815,3626194,39832587,476574748,,,12
2465,8,23487156,1,-16,156,-1211,8186,,,40319,362815,3626194,39832585,476574526,,,12
2466,8,23487165,1,-16,156,-1213,8248,,,40319,362815,3626194,39832587,476574752,,,12
2467,8,23487516,1,-16,157,-1250,9016,-62228,,40319,362815,3626193,39832503,476570600,6161263612,,13
2468,8,23487615,1,-16,156,-1220,8555,,,40319,362815,3626194,39832594,476575453,,,12
2469,8,23516847,1,-16,159,-1317,10292,,,40319,362815,3626191,39832328,476561548,,,12
2470,8,23516874,1,-16,157,-1246,8850,-58498,,40319,362815,3626193,39832499,476570190,6161239264,,13
2471,8,23517486,1,-16,159,-1322,10535,,,40319,362815,3626191,39832333,476562025,,,12
2472,8,23517684,1,-16,157,-1246,8850,-58508,,40319,362815,3626193,39832499,476570190,6161239274,,13
2473,8,23517846,1,-16,158,-1281,9543,,,40319,362815,3626192,39832413,476565825,,,12
2474,8,23517864,1,-16,157,-1246,8875,,,40319,362815,3626193,39832499,476570165,,,12
2475,4,23518467,1,-16,158,-1276,9257,,,40319,362815,3626192,39832408,476565391,,,12
2476,8,23518476,1,-16,158,-1276,9242,,,40319,362815,3626192,39832408,476565406,,,12
2477,8,23518647,1,-16,159,-1314,10188,,,40319,362815,3626191,39832325,476561220,,,12
2478,8,23518674,1,-16,157,-1246,8871,,,40319,362815,3626193,39832499,476570169,,,12
2479,8,23518746,1,-16,158,-1278,9418,,,40319,362815,3626192,39832410,476565518,,,12
2480,8,23518764,1,-16,157,-1251,9024,,,40319,362815,3626193,39832504,476570736,,,12
2481,8,23546817,1,-16,156,-1225,8704,,,40319,362815,3626194,39832599,476576024,,,12
2482,8,23547186,1,-16,157,-1252,9105,,,40319,362815,3626193,39832505,476570799,,,12
2483,8,23547816,1,-16,156,-1216,8353,,,40319,362815,3626194,39832590,476575079,,,12
2484,8,23548167,1,-16,156,-1213,8228,-49566,,40319,362815,3626194,39832587,476574772,6161424682,,13
2485,8,23548176,1,-16,156,-1217,8365,,,40319,362815,3626194,39832591,476575211,,,12
2486,8,23548617,1,-16,157,-1256,9272,-68499,,40319,362815,3626193,39832509,476571208,6161299627,,13
2487,8,23548716,1,-16,156,-1218,8435,,,40319,362815,3626194,39832592,476575285,,,12
2488,4,23561784,1,-16,157,-1244,8735,,,40319,362815,3626193,39832497,476570017,,,12
2489,8,23561847,1,-16,158,-1270,9056,,,40319,362815,3626192,39832402,476564728,,,12
2490,8,23561874,1,-16,157,-1240,8583,,,40319,362815,3626193,39832493,476569593,,,12
2491,8,23564817,1,-16,157,-1248,8894,,,40319,362815,3626193,39832501,476570434,,,12
2492,8,23567184,1,-16,157,-1254,9216,,,40319,362815,3626193,39832507,476570976,,,12
2493,8,23567814,1,-16,156,-1226,8736,,,40319,362815,3626194,39832600,476576136,,,12
2494,8,23568147,1,-16,158,-1268,8991,,,40319,362815,3626192,39832400,476564505,,,12
2495,8,23568174,1,-16,158,-1273,9238,,,40319,362815,3626192,39832405,476564978,,,12
2496,8,23568417,1,-16,158,-1271,9105,,,40319,362815,3626192,39832403,476564823,,,12
2497,8,23568714,1,-16,156,-1213,8201,,,40319,362815,3626194,39832587,476574799,,,12
