12345678 1 -16 153 -1140 7315 | 40319 362815 3626197 39832877 476591309
12345768 1 -16 153 -1141 7357 | 40319 362815 3626197 39832878 476591411
12345786 1 -16 154 -1172 7918 | 40319 362815 3626196 39832788 476586602
12346578 1 -16 153 -1141 7353 | 40319 362815 3626197 39832878 476591415
12346758 1 -16 155 -1208 8672 | 40319 362815 3626195 39832703 476582320
12346785 1 -16 154 -1165 7624 | 40319 362815 3626196 39832781 476585888
12346857 1 -16 155 -1206 8598 | 40319 362815 3626195 39832701 476582106
12346875 1 -16 155 -1204 8512 | 40319 362815 3626195 39832699 476581904
12347658 1 -16 153 -1141 7343 | 40319 362815 3626197 39832878 476591425
12347685 1 -16 155 -1204 8517 | 40319 362815 3626195 39832699 476581899
12347856 1 -16 154 -1166 7660 | 40319 362815 3626196 39832782 476585996
12347865 1 -16 154 -1167 7707 | 40319 362815 3626196 39832783 476586093
12348675 1 -16 154 -1169 7789 | 40319 362815 3626196 39832785 476586299
12354678 1 -16 153 -1141 7353 | 40319 362815 3626197 39832878 476591415
12354768 1 -16 153 -1142 7394 | 40319 362815 3626197 39832879 476591518
12354786 1 -16 154 -1172 7906 | 40319 362815 3626196 39832788 476586614
12356478 1 -16 155 -1204 8476 | 40319 362815 3626195 39832699 476581940
12356748 1 -16 155 -1194 8063 | 40319 362815 3626195 39832689 476580913
12356784 1 -16 154 -1165 7676 | 40319 362815 3626196 39832781 476585836
12356847 1 -16 157 -1268 9693 | 40319 362815 3626193 39832521 476572515
12356874 1 -16 155 -1195 8160 | 40319 362815 3626195 39832690 476580960
12357468 1 -16 156 -1240 9256 | 40319 362815 3626194 39832614 476577632
12357486 1 -16 157 -1270 9772 | 40319 362815 3626193 39832523 476572724
12357648 1 -16 156 -1236 9079 | 40319 362815 3626194 39832610 476577233
12357684 1 -16 155 -1197 8248 | 40319 362815 3626195 39832692 476581160
12357846 1 -16 156 -1229 8802 | 40319 362815 3626194 39832603 476576502
12357864 1 -16 156 -1232 8963 | 40319 362815 3626194 39832606 476576773
12358467 1 -16 157 -1272 9867 | 40319 362815 3626193 39832525 476572917
12358476 1 -16 156 -1235 9029 | 40319 362815 3626194 39832609 476577139
12358647 1 -16 158 -1304 10470 | 40319 362815 3626192 39832436 476568210
12358674 1 -16 156 -1232 8962 | 40319 362815 3626194 39832606 476576774
12358746 1 -16 157 -1268 9708 | 40319 362815 3626193 39832521 476572500
12358764 1 -16 155 -1197 8199 | 40319 362815 3626195 39832692 476581209
12365478 1 -16 153 -1141 7339 | 40319 362815 3626197 39832878 476591429
12365748 1 -16 156 -1236 9086 | 40319 362815 3626194 39832610 476577226
12365784 1 -16 155 -1195 8148 | 40319 362815 3626195 39832690 476580972
12365847 1 -16 156 -1232 8902 | 40319 362815 3626194 39832606 476576834
12365874 1 -16 155 -1194 8088 | 40319 362815 3626195 39832689 476580888
12367458 1 -16 155 -1196 8128 | 40319 362815 3626195 39832691 476581136
12367485 1 -16 156 -1226 8671 | 40319 362815 3626194 39832600 476576201
12367548 1 -16 155 -1198 8231 | 40319 362815 3626195 39832693 476581321
12367584 1 -16 156 -1230 8872 | 40319 362815 3626194 39832604 476576576
12367845 1 -16 154 -1162 7543 | 40319 362815 3626196 39832778 476585537
12367854 1 -16 154 -1162 7544 | 40319 362815 3626196 39832778 476585536
12368475 1 -16 157 -1266 9599 | 40319 362815 3626193 39832519 476572321
12368547 1 -16 157 -1269 9739 | 40319 362815 3626193 39832522 476572613
