1234567 1 -14 120 -816 4845 -26334 | 5039 40270 361302 3587916 38957991 457647966
1234657 1 -14 120 -817 4885 -27281 | 5039 40270 361302 3587917 38958072 457651865
1234675 1 -14 121 -846 5383 -33950 | 5039 40270 361301 3587846 38955033 457549070
1235467 1 -14 120 -817 4881 -27061 | 5039 40270 361302 3587917 38958076 457652221
1235647 1 -14 122 -880 6064 -44746 | 5039 40270 361300 3587780 38952416 457467610
1235674 1 -14 121 -839 5103 -27556 | 5039 40270 361301 3587839 38954466 457522012
1235746 1 -14 122 -878 5994 -43329 | 5039 40270 361300 3587778 38952244 457458849
1235764 1 -14 122 -876 5912 -41373 | 5039 40270 361300 3587776 38952084 457451277
1236547 1 -14 120 -817 4871 -26581 | 5039 40270 361302 3587917 38958086 457653181
1236574 1 -14 122 -876 5917 -41586 | 5039 40270 361300 3587776 38952079 457450770
1236745 1 -14 121 -840 5137 -28208 | 5039 40270 361301 3587840 38954553 457526480
1236754 1 -14 121 -841 5182 -29375 | 5039 40270 361301 3587841 38954629 457529879
1237564 1 -14 121 -843 5260 -31200 | 5039 40270 361301 3587843 38954793 457537896
1243657 1 -14 120 -818 4920 -27950 | 5039 40270 361302 3587918 38958158 457656206
1243675 1 -14 121 -846 5371 -33338 | 5039 40270 361301 3587846 38955045 457550186
1245367 1 -14 122 -876 5851 -38114 | 5039 40270 361300 3587776 38952145 457456802
1245637 1 -14 122 -866 5458 -29432 | 5039 40270 361300 3587766 38951328 457417592
1245673 1 -14 121 -839 5130 -28951 | 5039 40270 361301 3587839 38954439 457519519
1245736 1 -14 124 -936 6938 -54346 | 5039 40270 361298 3587636 38946218 457258426
1245763 1 -14 122 -867 5553 -33070 | 5039 40270 361300 3587767 38951354 457416262
1246357 1 -14 123 -910 6558 -50132 | 5039 40270 361299 3587710 38949502 457372820
1246375 1 -14 124 -938 7013 -55792 | 5039 40270 361298 3587638 38946385 457266496
1246537 1 -14 123 -906 6389 -46001 | 5039 40270 361299 3587706 38949187 457358177
1246573 1 -14 122 -869 5637 -35133 | 5039 40270 361300 3587769 38951512 457423653
1246735 1 -14 123 -899 6126 -40283 | 5039 40270 361299 3587699 38948603 457329347
1246753 1 -14 123 -902 6281 -44943 | 5039 40270 361299 3587702 38948811 457337823
