rank,pattern,contains_10,avoids_10
0,12345678,2603,3626197
1,12345687,2603,3626197
2,12345768,2603,3626197
3,12345786,2604,3626196
4,12345867,2604,3626196
5,12345876,2603,3626197
6,12346578,2603,3626197
7,12346587,2603,3626197
8,12346758,2605,3626195
9,12346785,2604,3626196
10,12346857,2605,3626195
11,12346875,2605,3626195
12,12347568,2605,3626195
13,12347586,2605,3626195
14,12347658,2603,3626197
15,12347685,2605,3626195
16,12347856,2604,3626196
17,12347865,2604,3626196
18,12348567,2604,3626196
19,12348576,2605,3626195
20,12348657,2605,3626195
21,12348675,2604,3626196
22,12348756,2604,3626196
23,12348765,2603,3626197
24,12354678,2603,3626197
25,12354687,2603,3626197
26,12354768,2603,3626197
27,12354786,2604,3626196
28,12354867,2604,3626196
29,12354876,2603,3626197
30,12356478,2605,3626195
31,12356487,2605,3626195
32,12356748,2605,3626195
33,12356784,2604,3626196
34,12356847,2607,3626193
35,12356874,2605,3626195
36,12357468,2606,3626194
37,12357486,2607,3626193
38,12357648,2606,3626194
39,12357684,2605,3626195
40,12357846,2606,3626194
41,12357864,2606,3626194
42,12358467,2607,3626193
43,12358476,2606,3626194
44,12358647,2608,3626192
45,12358674,2606,3626194
46,12358746,2607,3626193
47,12358764,2605,3626195
48,12364578,2605,3626195
49,12364587,2605,3626195
50,12364758,2606,3626194
51,12364785,2607,3626193
52,12364857,2607,3626193
53,12364875,2606,3626194
54,12365478,2603,3626197
55,12365487,2603,3626197
56,12365748,2606,3626194
57,12365784,2605,3626195
58,12365847,2606,3626194
59,12365874,2605,3626195
60,12367458,2605,3626195
61,12367485,2606,3626194
62,12367548,2605,3626195
63,12367584,2606,3626194
64,12367845,2604,3626196
65,12367854,2604,3626196
66,12368457,2606,3626194
67,12368475,2607,3626193
68,12368547,2607,3626193
69,12368574,2606,3626194
70,12368745,2605,3626195
71,12368754,2605,3626195
72,12374568,2605,3626195
73,12374586,2607,3626193
74,12374658,2606,3626194
75,12374685,2608,3626192
76,12374856,2606,3626194
77,12374865,2607,3626193
78,12375468,2606,3626194
79,12375486,2606,3626194
80,12375648,2605,3626195
81,12375684,2606,3626194
82,12375846,2607,3626193
83,12375864,2606,3626194
84,12376458,2605,3626195
85,12376485,2607,3626193
86,12376548,2603,3626197
87,12376584,2605,3626195
88,12376845,2605,3626195
89,12376854,2605,3626195
90,12378456,2604,3626196
91,12378465,2605,3626195
92,12378546,2605,3626195
93,12378564,2604,3626196
94,12378645,2604,3626196
95,12378654,2604,3626196
96,12384567,2604,3626196
97,12384576,2605,3626195
98,12384657,2605,3626195
99,12384675,2606,3626194
100,12384756,2606,3626194
101,12384765,2605,3626195
102,12385467,2605,3626195
103,12385476,2605,3626195
104,12385647,2606,3626194
105,12385674,2604,3626196
106,12385746,2606,3626194
107,12385764,2606,3626194
108,12386457,2606,3626194
109,12386475,2606,3626194
110,12386547,2605,3626195
111,12386574,2606,3626194
112,12386745,2604,3626196
113,12386754,2604,3626196
114,12387456,2604,3626196
115,12387465,2605,3626195
116,12387546,2605,3626195
117,12387564,2604,3626196
118,12387645,2604,3626196
119,12387654,2603,3626197
120,12435678,2603,3626197
121,12435687,2603,3626197
122,12435768,2603,3626197
123,12435786,2604,3626196
124,12435867,2604,3626196
125,12435876,2603,3626197
126,12436578,2603,3626197
127,12436587,2603,3626197
128,12436758,2605,3626195
129,12436785,2604,3626196
130,12436857,2605,3626195
131,12436875,2605,3626195
132,12437568,2605,3626195
133,12437586,2605,3626195
134,12437658,2603,3626197
135,12437685,2605,3626195
136,12437856,2604,3626196
137,12437865,2604,3626196
138,12438567,2604,3626196
139,12438576,2605,3626195
140,12438657,2605,3626195
141,12438675,2604,3626196
142,12438756,2604,3626196
143,12438765,2603,3626197
144,12453678,2605,3626195
145,12453687,2605,3626195
