class_id,pattern,lex_rank,representative,representative_rank,class_size
4315,42137856,15856,32417856,10936,8
4319,42137865,15857,32418756,10942,8
2412,42138567,15858,23416875,5891,8
4314,42138576,15859,32416875,10931,4
2832,42138657,15860,24316875,6611,8
4318,42138675,15861,32418675,10941,8
4316,42138756,15862,32417865,10937,8
8,42138765,15863,12346875,11,32
29,42153678,15864,12358476,43,24
29,42153687,15865,12358476,43,24
392,42153768,15866,13258476,763,8
2380,42153786,15867,23158476,5803,16
2380,42153867,15868,23158476,5803,16
29,42153876,15869,12358476,43,24
91,42156378,15870,12458376,163,16
91,42156387,15871,12458376,163,16
455,42156738,15872,13458276,883,8
2426,42156783,15873,23458176,5923,8
3525,42156837,15874,26134875,7925,8
4320,42156873,15875,32458176,10963,8
631,42157368,15876,13624875,1085,8
2773,42157386,15877,24158376,6523,8
990,42157638,15878,14358276,1603,8
2842,42157683,15879,24358176,6643,8
4379,42157836,15880,32714856,11284,8
4416,42157863,15881,32814756,11404,8
2530,42158367,15882,23614875,6125,8
4356,42158376,15883,32614875,11165,4
3585,42158637,15884,26314875,8045,8
4415,42158673,15885,32814675,11403,8
4380,42158736,15886,32714865,11285,8
4417,42158763,15887,32814765,11405,8
100,42163578,15888,12463875,173,16
100,42163587,15889,12463875,173,16
539,42163758,15890,13528476,979,8
2476,42163785,15891,23518476,6019,8
2779,42163857,15892,24163875,6533,8
4337,42163875,15893,32518476,11059,4
179,42165378,15894,12548376,283,16
179,42165387,15895,12548376,283,16
555,42165738,15896,13548276,1003,8
2485,42165783,15897,23548176,6043,8
3533,42165837,15898,26143875,7949,8
4341,42165873,15899,32548176,11083,8
1068,42167358,15900,14528376,1699,8
2885,42167385,15901,24518376,6739,8
1082,42167538,15902,14538276,1723,8
2892,42167583,15903,24538176,6763,8
4385,42167835,15904,32718456,11298,8
4425,42167853,15905,32817456,11418,8
2932,42168357,15906,24613875,6845,8
4360,42168375,15907,32618475,11179,8
3627,42168537,15908,26413875,8165,8
4421,42168573,15909,32816475,11413,8
4386,42168735,15910,32718465,11299,8
4426,42168753,15911,32817465,11419,8
463,42173568,15912,13462875,893,8
3153,42173586,15913,25138476,7219,8
997,42173658,15914,14362875,1613,8
3222,42173685,15915,25318476,7339,8
4335,42173856,15916,32517846,11056,8
4339,42173865,15917,32518746,11062,8
650,42175368,15918,13642875,1109,8
3162,42175386,15919,25148376,7243,8
1459,42175638,15920,15348276,2323,8
3229,42175683,15921,25348176,7363,8
4381,42175836,15922,32715846,11290,8
4419,42175863,15923,32815746,11410,8
1167,42176358,15924,14632875,1829,8
3269,42176385,15925,25418376,7459,8
1530,42176538,15926,15438276,2443,8
3276,42176583,15927,25438176,7483,8
4387,42176835,15928,32718546,11300,8
4427,42176853,15929,32817546,11420,8
4358,42178356,15930,32617845,11176,8
4362,42178365,15931,32618745,11182,8
4383,42178536,15932,32716845,11296,8
4423,42178563,15933,32816745,11416,8
4389,42178635,15934,32718645,11302,8
4429,42178653,15935,32817645,11422,8
2431,42183567,15936,23461875,5933,8
4321,42183576,15937,32461875,10973,8
2845,42183657,15938,24361875,6653,8
4338,42183675,15939,32518674,11061,8
4336,42183756,15940,32517864,11057,8
4340,42183765,15941,32518764,11063,8
2545,42185367,15942,23641875,6149,8
4357,42185376,15943,32615874,11171,8
3593,42185637,15944,26341875,8069,8
4418,42185673,15945,32815674,11409,8
4382,42185736,15946,32715864,11291,8
4420,42185763,15947,32815764,11411,8
2945,42186357,15948,24631875,6869,8
4361,42186375,15949,32618574,11181,8
3636,42186537,15950,26431875,8189,8
4422,42186573,15951,32816574,11415,8
4388,42186735,15952,32718564,11301,8
4428,42186753,15953,32817564,11421,8
4359,42187356,15954,32617854,11177,8
4363,42187365,15955,32618754,11183,8
4384,42187536,15956,32716854,11297,8
4424,42187563,15957,32816754,11417,8
4390,42187635,15958,32718654,11303,8
4430,42187653,15959,32817654,11423,8
13,42315678,15960,12348675,21,16
13,42315687,15961,12348675,21,16
378,42315768,15962,13248675,741,4
2370,42315786,15963,23148675,5781,8
2370,42315867,15964,23148675,5781,8
13,42315876,15965,12348675,21,16
76,42316578,15966,12438675,141,8
76,42316587,15967,12438675,141,8
441,42316758,15968,13428675,861,8
2420,42316785,15969,23418675,5901,8
2765,42316857,15970,24138675,6501,8
4318,42316875,15971,32418675,10941,8
441,42317568,15972,13428675,861,8
2765,42317586,15973,24138675,6501,8
979,42317658,15974,14328675,1581,4
2838,42317685,15975,24318675,6621,8
4467,42317856,15976,34128675,11541,4
4492,42317865,15977,34218675,11661,8
2420,42318567,15978,23418675,5901,8
4318,42318576,15979,32418675,10941,8
2838,42318657,15980,24318675,6621,8
4736,42318675,15981,42318675,15981,2
4492,42318756,15982,34218675,11661,8
13,42318765,15983,12348675,21,16
31,42351678,15984,12358674,45,24
31,42351687,15985,12358674,45,24
394,42351768,15986,13258674,765,8
2382,42351786,15987,23158674,5805,16
2382,42351867,15988,23158674,5805,16
31,42351876,15989,12358674,45,24
93,42356178,15990,12458673,165,16
93,42356187,15991,12458673,165,16
457,42356718,15992,13458672,885,8
2261,42356781,15993,17685432,4199,8
4208,42356817,15994,27685413,9238,8
2260,42356871,15995,17685423,4198,8
854,42357168,15996,13824675,1323,8
2775,42357186,15997,24158673,6525,8
992,42357618,15998,14358672,1605,8
2259,42357681,15999,17685342,4197,8
4206,42357816,16000,27685143,9235,8
2098,42357861,16001,16875324,3596,8
2667,42358167,16002,23814675,6363,8
4415,42358176,16003,32814675,11403,8
4207,42358617,16004,27685314,9236,8
2258,42358671,16005,17685324,4196,4
4205,42358716,16006,27685134,9234,8
2045,42358761,16007,16785324,3476,8
145,42361578,16008,12483675,219,16
145,42361587,16009,12483675,219,16
541,42361758,16010,13528674,981,8
2478,42361785,16011,23518674,6021,8
2812,42361857,16012,24183675,6579,8
4338,42361875,16013,32518674,11061,8
181,42365178,16014,12548673,285,16
181,42365187,16015,12548673,285,16
557,42365718,16016,13548672,1005,8
2257,42365781,16017,17684532,4193,8
4204,42365817,16018,27684513,9232,8
2256,42365871,16019,17684523,4192,8
1070,42367158,16020,14528673,1701,8
2887,42367185,16021,24518673,6741,8
1084,42367518,16022,14538672,1725,8
2254,42367581,16023,17683542,4187,8
4196,42367815,16024,27681543,9221,8
1824,42367851,16025,15876324,2876,8
3064,42368157,16026,24813675,7083,8
4735,42368175,16027,37681524,14260,8
4200,42368517,16028,27683514,9226,8
2223,42368571,16029,17586324,4076,8
4195,42368715,16030,27681534,9220,8
1747,42368751,16031,15786324,2756,8
507,42371568,16032,13482675,939,8
3155,42371586,16033,25138674,7221,8
1038,42371658,16034,14382675,1659,8
3224,42371685,16035,25318674,7341,8
4481,42371856,16036,34182675,11619,8
4571,42371865,16037,35218674,12381,8
878,42375168,16038,13842675,1347,8
3164,42375186,16039,25148673,7245,8
1461,42375618,16040,15348672,2325,8
2255,42375681,16041,17684352,4191,8
4202,42375816,16042,27684153,9229,8
2085,42375861,16043,16857324,3572,8
1357,42376158,16044,14832675,2067,8
3271,42376185,16045,25418673,7461,8
1532,42376518,16046,15438672,2445,8
2253,42376581,16047,17683452,4185,8
4194,42376815,16048,27681453,9219,8
1805,42376851,16049,15867324,2852,8
4533,42378156,16050,34812675,12123,8
4733,42378165,16051,37681254,14257,8
4198,42378516,16052,27683154,9223,8
1987,42378561,16053,16587324,3356,8
4192,42378615,16054,27681354,9217,8
1666,42378651,16055,15687324,2636,8
2454,42381567,16056,23481675,5979,8
4328,42381576,16057,32481675,11019,8
2867,42381657,16058,24381675,6699,8
4737,42381675,16059,42381675,16059,4
4498,42381756,16060,34281675,11739,8
4738,42381765,16061,42381765,16061,8
2689,42385167,16062,23841675,6387,8
4431,42385176,16063,32841675,11427,8
4203,42385617,16064,27684315,9230,8
2249,42385671,16065,17658324,4172,8
4201,42385716,16066,27684135,9228,8
2030,42385761,16067,16758324,3452,8
3084,42386157,16068,24831675,7107,8
4734,42386175,16069,37681425,14258,8
4199,42386517,16070,27683415,9224,8
2212,42386571,16071,17568324,4052,8
4193,42386715,16072,27681435,9218,8
1726,42386751,16073,15768324,2732,8
4541,42387156,16074,34821675,12147,8
4732,42387165,16075,37681245,14256,8
4197,42387516,16076,27683145,9222,8
1970,42387561,16077,16578324,3332,8
4191,42387615,16078,27681345,9216,8
1643,42387651,16079,15678324,2612,8
45,42513678,16080,12368475,67,12
45,42513687,16081,12368475,67,12
407,42513768,16082,13268475,787,4
2392,42513786,16083,23168475,5827,8
2392,42513867,16084,23168475,5827,8
45,42513876,16085,12368475,67,12
113,42516378,16086,12468375,187,16
113,42516387,16087,12468375,187,16
475,42516738,16088,13468275,907,8
2436,42516783,16089,23468175,5947,8
3529,42516837,16090,26138475,7939,8
4322,42516873,16091,32468175,10987,8
643,42517368,16092,13628475,1099,8
2787,42517386,16093,24168375,6547,8
1008,42517638,16094,14368275,1627,8
2850,42517683,16095,24368175,6667,8
4471,42517836,16096,34168275,11587,8
4494,42517863,16097,34268175,11707,8
2539,42518367,16098,23618475,6139,8
4360,42518376,16099,32618475,11179,8
3589,42518637,16100,26318475,8059,8
4735,42518673,16101,37681524,14260,8
4634,42518736,16102,36218475,13099,8
4671,42518763,16103,36781524,13540,8
47,42531678,16104,12368574,69,24
47,42531687,16105,12368574,69,24
409,42531768,16106,13268574,789,8
2394,42531786,16107,23168574,5829,16
2394,42531867,16108,23168574,5829,16
