rank,pattern,contains_12,avoids_12
0,12345678,2410291,476591309
1,12345687,2410291,476591309
2,12345768,2410189,476591411
3,12345786,2414998,476586602
4,12345867,2414998,476586602
5,12345876,2410291,476591309
6,12346578,2410185,476591415
7,12346587,2410185,476591415
8,12346758,2419280,476582320
9,12346785,2415712,476585888
10,12346857,2419494,476582106
11,12346875,2419696,476581904
12,12347568,2419280,476582320
13,12347586,2419494,476582106
14,12347658,2410175,476591425
15,12347685,2419701,476581899
16,12347856,2415604,476585996
17,12347865,2415507,476586093
18,12348567,2415712,476585888
19,12348576,2419696,476581904
20,12348657,2419701,476581899
21,12348675,2415301,476586299
22,12348756,2415507,476586093
23,12348765,2410291,476591309
24,12354678,2410185,476591415
25,12354687,2410185,476591415
26,12354768,2410082,476591518
27,12354786,2414986,476586614
28,12354867,2414986,476586614
29,12354876,2410185,476591415
30,12356478,2419660,476581940
31,12356487,2419660,476581940
32,12356748,2420687,476580913
33,12356784,2415764,476585836
34,12356847,2429085,476572515
35,12356874,2420640,476580960
36,12357468,2423968,476577632
37,12357486,2428876,476572724
38,12357648,2424367,476577233
39,12357684,2420440,476581160
40,12357846,2425098,476576502
41,12357864,2424827,476576773
42,12358467,2428683,476572917
43,12358476,2424461,476577139
44,12358647,2433390,476568210
45,12358674,2424826,476576774
46,12358746,2429100,476572500
47,12358764,2420391,476581209
48,12364578,2419660,476581940
49,12364587,2419660,476581940
50,12364758,2423968,476577632
51,12364785,2428683,476572917
52,12364857,2428876,476572724
53,12364875,2424461,476577139
54,12365478,2410171,476591429
55,12365487,2410171,476591429
56,12365748,2424374,476577226
57,12365784,2420628,476580972
58,12365847,2424766,476576834
59,12365874,2420712,476580888
60,12367458,2420464,476581136
61,12367485,2425399,476576201
62,12367548,2420279,476581321
63,12367584,2425024,476576576
64,12367845,2416063,476585537
65,12367854,2416064,476585536
66,12368457,2425399,476576201
67,12368475,2429279,476572321
68,12368547,2428987,476572613
69,12368574,2424605,476576995
70,12368745,2420836,476580764
71,12368754,2420620,476580980
72,12374568,2420687,476580913
73,12374586,2429085,476572515
74,12374658,2424367,476577233
75,12374685,2433390,476568210
76,12374856,2425098,476576502
77,12374865,2429100,476572500
78,12375468,2424374,476577226
79,12375486,2424766,476576834
80,12375648,2419967,476581633
81,12375684,2425220,476576380
82,12375846,2429186,476572414
83,12375864,2424615,476576985
84,12376458,2420279,476581321
85,12376485,2428987,476572613
86,12376548,2410175,476591425
87,12376584,2420500,476581100
88,12376845,2420838,476580762
89,12376854,2420416,476581184
90,12378456,2416063,476585537
91,12378465,2420836,476580764
92,12378546,2420838,476580762
93,12378564,2415738,476585862
94,12378645,2416253,476585347
95,12378654,2415537,476586063
96,12384567,2415764,476585836
97,12384576,2420640,476580960
98,12384657,2420440,476581160
99,12384675,2424826,476576774
100,12384756,2424827,476576773
101,12384765,2420391,476581209
102,12385467,2420628,476580972
103,12385476,2420712,476580888
104,12385647,2425220,476576380
105,12385674,2416159,476585441
106,12385746,2424615,476576985
107,12385764,2424420,476577180
108,12386457,2425024,476576576
109,12386475,2424605,476576995
110,12386547,2420500,476581100
111,12386574,2424726,476576874
112,12386745,2415738,476585862
113,12386754,2415634,476585966
114,12387456,2416064,476585536
115,12387465,2420620,476580980
116,12387546,2420416,476581184
117,12387564,2415634,476585966
118,12387645,2415537,476586063
119,12387654,2410291,476591309
120,12435678,2410185,476591415
121,12435687,2410185,476591415
122,12435768,2410083,476591517
123,12435786,2414896,476586704
124,12435867,2414896,476586704
125,12435876,2410185,476591415
126,12436578,2410078,476591522
127,12436587,2410078,476591522
128,12436758,2419268,476582332
129,12436785,2415707,476585893
130,12436857,2419484,476582116
131,12436875,2419688,476581912
132,12437568,2419268,476582332
133,12437586,2419484,476582116
134,12437658,2410068,476591532
135,12437685,2419693,476581907
136,12437856,2415598,476586002
137,12437865,2415500,476586100
138,12438567,2415707,476585893
139,12438576,2419688,476581912
140,12438657,2419693,476581907
141,12438675,2415293,476586307
142,12438756,2415500,476586100
143,12438765,2410185,476591415
144,12453678,2419660,476581940
145,12453687,2419660,476581940
146,12453768,2419648,476581952
147,12453786,2420861,476580739
148,12453867,2420861,476580739
149,12453876,2419660,476581940
150,12456378,2421083,476580517
151,12456387,2421083,476580517
152,12456738,2420766,476580834
153,12456783,2415739,476585861
154,12456837,2430227,476571373
155,12456873,2420660,476580940
156,12457368,2433751,476567849
157,12457386,2434880,476566720
158,12457638,2425723,476575877
159,12457683,2420749,476580851
160,12457836,2430906,476570694
161,12457863,2425728,476575872
162,12458367,2431526,476570074
163,12458376,2430553,476571047
164,12458637,2435106,476566494
165,12458673,2425530,476576070
166,12458736,2431468,476570132
167,12458763,2421151,476580449
168,12463578,2424338,476577262
169,12463587,2424338,476577262
170,12463758,2433539,476568061
171,12463785,2434464,476567136
172,12463857,2434457,476567143
173,12463875,2434234,476567366
174,12465378,2424749,476576851
175,12465387,2424749,476576851
176,12465738,2425530,476576070
177,12465783,2420749,476580851
178,12465837,2430500,476571100
179,12465873,2420855,476580745
180,12467358,2430455,476571145
181,12467385,2431115,476570485
182,12467538,2430096,476571504
183,12467583,2429551,476572049
184,12467835,2425660,476575940
185,12467853,2425533,476576067
186,12468357,2434900,476566700
187,12468375,2439384,476562216
188,12468537,2439292,476562308
189,12468573,2429731,476571869
190,12468735,2430549,476571051
191,12468753,2429931,476571669
192,12473568,2433731,476567869
193,12473586,2438117,476563483
194,12473658,2429209,476572391
195,12473685,2438542,476563058
196,12473856,2434469,476567131
197,12473865,2434738,476566862
198,12475368,2438444,476563156
199,12475386,2438951,476562649
200,12475638,2430283,476571317
201,12475683,2429846,476571754
202,12475836,2439089,476562511
203,12475863,2429723,476571877
204,12476358,2434054,476567546
205,12476385,2435954,476565646
206,12476538,2425157,476576443
207,12476583,2421243,476580357
208,12476835,2430829,476570771
209,12476853,2429932,476571668
210,12478356,2430789,476570811
211,12478365,2430995,476570605
212,12478536,2435488,476566112
213,12478563,2425818,476575782
214,12478635,2430908,476570692
215,12478653,2425737,476575863
216,12483567,2429777,476571823
217,12483576,2430446,476571154
218,12483657,2430060,476571540
219,12483675,2430371,476571229
220,12483756,2430085,476571515
221,12483765,2424981,476576619
222,12485367,2435082,476566518
223,12485376,2435447,476566153
224,12485637,2435701,476565899
225,12485673,2425637,476575963
226,12485736,2439287,476562313
227,12485763,2430133,476571467
228,12486357,2439290,476562310
229,12486375,2439077,476562523
230,12486537,2435673,476565927
231,12486573,2430334,476571266
232,12486735,2430511,476571089
233,12486753,2425533,476576067
234,12487356,2431452,476570148
235,12487365,2430879,476570721
236,12487536,2435093,476566507
237,12487563,2425739,476575861
238,12487635,2430210,476571390
239,12487653,2420418,476581182
240,12534678,2419660,476581940
241,12534687,2419660,476581940
242,12534768,2419648,476581952
243,12534786,2420861,476580739
244,12534867,2420861,476580739
245,12534876,2419660,476581940
246,12536478,2424338,476577262
247,12536487,2424338,476577262
248,12536748,2433731,476567869
249,12536784,2429777,476571823
250,12536847,2438117,476563483
251,12536874,2430446,476571154
252,12537468,2433539,476568061
253,12537486,2434457,476567143
254,12537648,2429209,476572391
255,12537684,2430060,476571540
256,12537846,2434469,476567131
257,12537864,2430085,476571515
258,12538467,2434464,476567136
259,12538476,2434234,476567366
260,12538647,2438542,476563058
261,12538674,2430371,476571229
262,12538746,2434738,476566862
263,12538764,2424981,476576619
264,12543678,2410171,476591429
265,12543687,2410171,476591429
266,12543768,2410068,476591532
267,12543786,2414986,476586614
268,12543867,2414986,476586614
269,12543876,2410171,476591429
270,12546378,2424749,476576851
271,12546387,2424749,476576851
272,12546738,2425723,476575877
273,12546783,2420647,476580953
274,12546837,2430881,476570719
275,12546873,2421345,476580255
276,12547368,2429227,476572373
277,12547386,2434440,476567160
278,12547638,2425783,476575817
279,12547683,2420851,476580749
280,12547836,2430997,476570603
281,12547863,2425934,476575666
282,12548367,2430356,476571244
283,12548376,2425569,476576031
284,12548637,2435463,476566137
285,12548673,2425936,476575664
286,12548736,2430794,476570806
287,12548763,2421139,476580461
288,12563478,2420851,476580749
289,12563487,2420851,476580749
290,12563748,2430471,476571129
291,12563784,2431196,476570404
292,12563847,2435190,476566410
293,12563874,2431289,476570311
294,12564378,2420665,476580935
295,12564387,2420665,476580935
296,12564738,2430106,476571494
297,12564783,2426133,476575467
298,12564837,2430912,476570688
299,12564873,2426348,476575252
300,12567348,2421348,476580252
301,12567384,2425993,476575607
302,12567438,2421350,476580250
303,12567483,2425856,476575744
304,12567834,2416069,476585531
305,12567843,2416069,476585531
306,12568347,2431116,476570484
307,12568374,2435617,476565983
308,12568437,2431777,476569823
309,12568473,2434636,476566964
310,12568734,2421376,476580224
311,12568743,2421371,476580229
312,12573468,2430471,476571129
313,12573486,2435190,476566410
314,12573648,2434232,476567368
315,12573684,2439469,476562131
316,12573846,2435522,476566078
317,12573864,2439782,476561818
318,12574368,2434050,476567550
319,12574386,2435046,476566554
320,12574638,2429664,476571936
321,12574683,2430133,476571467
322,12574836,2439577,476562023
323,12574863,2434808,476566792
324,12576348,2426211,476575389
325,12576384,2431240,476570360
326,12576438,2425588,476576012
327,12576483,2430354,476571246
328,12576834,2421168,476580432
329,12576843,2421159,476580441
330,12578346,2426262,476575338
331,12578364,2435114,476566486
332,12578436,2430923,476570677
333,12578463,2430016,476571584
334,12578634,2425572,476576028
335,12578643,2425550,476576050
336,12583467,2431196,476570404
337,12583476,2431289,476570311
338,12583647,2439469,476562131
339,12583674,2436362,476565238
340,12583746,2439782,476561818
341,12583764,2431066,476570534
342,12584367,2431330,476570270
343,12584376,2430657,476570943
344,12584637,2439679,476561921
345,12584673,2434529,476567071
346,12584736,2434880,476566720
347,12584763,2430888,476570712
348,12586347,2435792,476565808
349,12586374,2439408,476562192
350,12586437,2435411,476566189
351,12586473,2438925,476562675
352,12586734,2425556,476576044
353,12586743,2425556,476576044
354,12587346,2430943,476570657
355,12587364,2435324,476566276
356,12587436,2431866,476569734
357,12587463,2434221,476567379
358,12587634,2421559,476580041
359,12587643,2421331,476580269
360,12634578,2421083,476580517
361,12634587,2421083,476580517
362,12634758,2433751,476567849
363,12634785,2431526,476570074
364,12634857,2434880,476566720
365,12634875,2430553,476571047
366,12635478,2424749,476576851
367,12635487,2424749,476576851
368,12635748,2438444,476563156
369,12635784,2435082,476566518
370,12635847,2438951,476562649
371,12635874,2435447,476566153
372,12637458,2430455,476571145
373,12637485,2434900,476566700
374,12637548,2434054,476567546
375,12637584,2439290,476562310
376,12637845,2430789,476570811
377,12637854,2431452,476570148
378,12638457,2431115,476570485
379,12638475,2439384,476562216
380,12638547,2435954,476565646
381,12638574,2439077,476562523
382,12638745,2430995,476570605
383,12638754,2430879,476570721
384,12643578,2424749,476576851
385,12643587,2424749,476576851
386,12643758,2429227,476572373
387,12643785,2430356,476571244
388,12643857,2434440,476567160
389,12643875,2425569,476576031
390,12645378,2420342,476581258
391,12645387,2420342,476581258
392,12645738,2430303,476571297
393,12645783,2425945,476575655
394,12645837,2431195,476570405
395,12645873,2426356,476575244
396,12647358,2434233,476567367
397,12647385,2439574,476562026
398,12647538,2429664,476571936
399,12647583,2430129,476571471
400,12647835,2435379,476566221
401,12647853,2434412,476567188
402,12648357,2439574,476562026
403,12648375,2435390,476566210
404,12648537,2439274,476562326
405,12648573,2434711,476566889
406,12648735,2435110,476566490
407,12648753,2430192,476571408
408,12653478,2420665,476580935
409,12653487,2420665,476580935
410,12653748,2434050,476567550
411,12653784,2431330,476570270
412,12653847,2435046,476566554
413,12653874,2430657,476570943
414,12654378,2410171,476591429
415,12654387,2410171,476591429
416,12654738,2425170,476576430
417,12654783,2421148,476580452
