class_id,representative,lex_rank,class_size,avoid_9,avoid_10,avoid_11,avoid_12,avoid_13,avoid_14
4236,27831564,9267,8,362815,3626193,39832490,476569247,,
4237,27831645,9268,8,362815,3626193,39832490,476569238,,
4238,27831654,9269,8,362815,3626193,39832499,476570137,,
4239,27834156,9270,8,362815,3626193,39832493,476569577,,
4240,27834165,9271,8,362815,3626193,39832491,476569327,6161184859,
4241,27834516,9272,8,362815,3626193,39832500,476570262,,
4242,27834615,9274,8,362815,3626192,39832406,476565073,,
4243,27835146,9276,8,362815,3626191,39832324,476561066,,
4244,27835164,9277,8,362815,3626191,39832316,476560266,,
4245,27835416,9278,8,362815,3626193,39832490,476569220,,
4246,27835614,9280,8,362815,3626192,39832405,476565025,,
4247,27836145,9282,8,362815,3626192,39832398,476564294,,
4248,27836154,9283,8,362815,3626192,39832406,476565074,,
4249,27836415,9284,8,362815,3626191,39832320,476560669,,
4250,27836514,9286,8,362815,3626192,39832403,476564781,,
4251,27841356,9288,8,362815,3626192,39832409,476565372,,
4252,27841365,9289,8,362815,3626192,39832409,476565338,,
4253,27841536,9290,8,362815,3626191,39832321,476560773,,
4254,27841563,9291,8,362815,3626192,39832403,476564762,,
4255,27841635,9292,8,362815,3626191,39832317,476560400,6160830097,
4256,27841653,9293,8,362815,3626192,39832399,476564355,,
4257,27843156,9294,8,362815,3626193,39832493,476569537,,
4258,27843165,9295,8,362815,3626193,39832493,476569530,6161197006,
4259,27843516,9296,8,362815,3626193,39832490,476569225,6161178996,
4260,27843615,9298,8,362815,3626192,39832404,476564856,6161006633,
4261,27845136,9300,8,362815,3626192,39832405,476564959,,
4262,27845163,9301,8,362815,3626192,39832407,476565188,,
4263,27845316,9302,8,362815,3626193,39832493,476569529,,
4264,27845613,9304,8,362815,3626194,39832598,476575914,,
4265,27846135,9306,8,362815,3626191,39832325,476561219,,
4266,27846153,9307,8,362815,3626191,39832321,476560802,,
4267,27846315,9308,8,362815,3626191,39832325,476561210,,
4268,27846513,9310,8,362815,3626193,39832501,476570400,,
4269,27851346,9312,8,362815,3626192,39832406,476565054,6161018040,
4270,27851364,9313,8,362815,3626191,39832321,476560728,,
4271,27851436,9314,8,362815,3626192,39832406,476565029,6161015309,
4272,27851463,9315,8,362815,3626191,39832319,476560525,,
4273,27851634,9316,8,362815,3626192,39832410,476565487,6161045413,
4274,27851643,9317,8,362815,3626192,39832408,476565280,,
4275,27853146,9318,8,362815,3626191,39832323,476560949,,
4276,27853164,9319,8,362815,3626191,39832321,476560766,,
4277,27853416,9320,8,362815,3626193,39832493,476569515,,
4278,27853614,9322,8,362815,3626191,39832325,476561195,6160876343,
4279,27854136,9324,8,362815,3626192,39832409,476565327,,
4280,27854163,9325,8,362815,3626192,39832397,476564174,,
4281,27854316,9326,8,362815,3626193,39832500,476570258,,
4282,27854613,9328,8,362815,3626193,39832501,476570396,6161251499,
4283,27856134,9330,8,362815,3626194,39832592,476575295,,
4284,27856143,9331,8,362815,3626194,39832590,476575082,,
4285,27856314,9332,8,362815,3626193,39832509,476571218,6161300671,
4286,27856413,9334,8,362815,3626194,39832599,476576014,6161499711,
4287,27861345,9336,8,362815,3626194,39832592,476575249,,
4288,27861354,9337,8,362815,3626194,39832586,476574607,6161411200,
4289,27861435,9338,8,362815,3626194,39832586,476574609,6161411622,
4290,27861453,9339,8,362815,3626194,39832586,476574616,6161412440,
4291,27861534,9340,8,362815,3626194,39832586,476574609,6161411661,
4292,27861543,9341,8,362815,3626194,39832590,476575081,,
4293,27863145,9342,8,362815,3626193,39832502,476570452,,
4294,27863154,9343,8,362815,3626193,39832498,476570038,,
4295,27863415,9344,8,362815,3626193,39832499,476570163,,
4296,27863514,9346,8,362815,3626192,39832418,476566292,,
4297,27864135,9348,8,362815,3626192,39832416,476566047,6161075867,
4298,27864153,9349,8,362815,3626192,39832418,476566281,,
4299,27864315,9350,8,362815,3626193,39832499,476570181,,
4300,27864513,9352,8,362815,3626194,39832598,476575893,,
4301,27865134,9354,8,362815,3626194,39832592,476575263,,
4302,27865143,9355,8,362815,3626194,39832590,476575083,,
4303,27865314,9356,8,362815,3626193,39832509,476571202,,
4304,27865413,9358,8,362815,3626194,39832598,476575929,,
4305,28345617,9512,4,362815,3626193,39832510,476571317,,
4306,28346517,9518,8,362815,3626193,39832497,476569937,,
4307,28354617,9536,4,362815,3626193,39832498,476570055,,
4308,28356417,9542,8,362815,3626192,39832408,476565199,,
4309,28364517,9560,8,362815,3626192,39832408,476565223,,
4310,28365417,9566,8,362815,3626193,39832497,476569910,,
4311,28436517,9638,4,362815,3626193,39832497,476569948,,
4312,28463517,9680,2,362815,3626192,39832404,476564854,,
4313,28536417,9758,2,362815,3626192,39832404,476564834,,
4314,32416875,10931,4,362815,3626194,39832606,476576719,,
4315,32417856,10936,8,362815,3626195,39832691,476581003,,
4316,32417865,10937,8,362815,3626195,39832691,476581010,6161710473,
4317,32418576,10939,4,362815,3626194,39832606,476576723,,
4318,32418675,10941,8,362815,3626195,39832692,476581123,,
4319,32418756,10942,8,362815,3626195,39832691,476581004,6161709891,
4320,32458176,10963,8,362815,3626194,39832591,476575176,,
4321,32461875,10973,8,362815,3626193,39832497,476570014,6161230655,
4322,32468175,10987,8,362815,3626192,39832412,476565626,,
4323,32471856,10996,8,362815,3626193,39832498,476570052,6161229339,
4324,32471865,10997,8,362815,3626193,39832498,476570058,,
4325,32478156,11010,8,362815,3626194,39832583,476574297,,
4326,32478165,11011,8,362815,3626194,39832583,476574306,6161393800,
4327,32481576,11017,4,362815,3626194,39832582,476574254,,
4328,32481675,11019,8,362815,3626194,39832586,476574643,6161415710,
4329,32481756,11020,8,362815,3626194,39832586,476574645,,
4330,32481765,11021,8,362815,3626194,39832593,476575431,6161466749,
4331,32485176,11023,8,362815,3626193,39832494,476569673,6161207981,
4332,32486175,11029,8,362815,3626192,39832414,476565801,,
4333,32487156,11034,8,362815,3626194,39832583,476574294,,
4334,32487165,11035,8,362815,3626194,39832585,476574543,,
4335,32517846,11056,8,362815,3626192,39832410,476565550,,
4336,32517864,11057,8,362815,3626193,39832497,476569998,,
4337,32518476,11059,4,362815,3626192,39832409,476565531,,
4338,32518674,11061,8,362815,3626193,39832497,476569997,,
4339,32518746,11062,8,362815,3626192,39832408,476565340,,
4340,32518764,11063,8,362815,3626193,39832505,476570850,,
4341,32548176,11083,8,362815,3626194,39832591,476575213,,
4342,32561874,11093,4,362815,3626193,39832491,476569349,,
4343,32568174,11107,8,362815,3626192,39832405,476564915,,
4344,32571846,11116,8,362815,3626191,39832320,476560668,,
4345,32571864,11117,8,362815,3626191,39832319,476560549,6160836015,
4346,32578146,11130,8,362815,3626192,39832408,476565268,6161031320,
4347,32578164,11131,8,362815,3626192,39832404,476564846,6161005427,
4348,32581476,11137,4,362815,3626192,39832403,476564821,,
4349,32581674,11139,8,362815,3626192,39832401,476564530,,
4350,32581746,11140,8,362815,3626191,39832315,476560164,,
4351,32581764,11141,8,362815,3626192,39832407,476565175,,
4352,32584176,11143,8,362815,3626192,39832404,476564893,,
4353,32586174,11149,8,362815,3626191,39832319,476560532,,
4354,32587146,11154,8,362815,3626192,39832401,476564551,,
4355,32587164,11155,8,362815,3626192,39832406,476565017,,
4356,32614875,11165,4,362815,3626192,39832418,476566404,,
4357,32615874,11171,8,362815,3626192,39832409,476565477,,
4358,32617845,11176,8,362815,3626193,39832497,476569985,,
4359,32617854,11177,8,362815,3626193,39832497,476569982,6161226786,
4360,32618475,11179,8,362815,3626191,39832319,476560640,6160846898,
4361,32618574,11181,8,362815,3626191,39832327,476561429,,
4362,32618745,11182,8,362815,3626193,39832494,476569672,6161208214,
4363,32618754,11183,8,362815,3626193,39832496,476569899,6161223052,
4364,32648175,11203,8,362815,3626191,39832321,476560786,6160852159,
4365,32651874,11213,4,362815,3626193,39832492,476569459,,
4366,32658174,11227,8,362815,3626192,39832406,476565040,,
4367,32671845,11236,8,362815,3626193,39832492,476569455,,
4368,32671854,11237,8,362815,3626193,39832492,476569443,,
4369,32678145,11250,8,362815,3626194,39832585,476574546,,
4370,32678154,11251,8,362815,3626194,39832585,476574535,6161408688,
4371,32681475,11257,8,362815,3626191,39832316,476560267,,
4372,32681574,11259,8,362815,3626191,39832319,476560564,,
4373,32681745,11260,8,362815,3626192,39832405,476564919,,
4374,32681754,11261,8,362815,3626192,39832406,476565039,6161016464,
4375,32684175,11263,8,362815,3626191,39832308,476559433,,
4376,32685174,11269,8,362815,3626191,39832313,476559946,,
4377,32687145,11274,8,362815,3626194,39832580,476573990,6161374218,
4378,32687154,11275,8,362815,3626194,39832580,476574001,,
4379,32714856,11284,8,362815,3626192,39832407,476565259,,
4380,32714865,11285,8,362815,3626192,39832407,476565248,,
4381,32715846,11290,8,362815,3626191,39832326,476561353,,
4382,32715864,11291,8,362815,3626191,39832331,476561840,6160916794,
4383,32716845,11296,8,362815,3626192,39832413,476565831,,
4384,32716854,11297,8,362815,3626192,39832419,476566441,,
4385,32718456,11298,8,362815,3626193,39832504,476570700,,
4386,32718465,11299,8,362815,3626193,39832495,476569790,,
4387,32718546,11300,8,362815,3626193,39832495,476569791,,
4388,32718564,11301,8,362815,3626193,39832503,476570602,6161264067,85461369287
4389,32718645,11302,8,362815,3626193,39832501,476570386,,
4390,32718654,11303,8,362815,3626193,39832507,476571010,,
4391,32741856,11308,8,362815,3626192,39832400,476564487,,
4392,32741865,11309,8,362815,3626192,39832398,476564285,,
4393,32748156,11322,8,362815,3626192,39832399,476564333,,
4394,32748165,11323,8,362815,3626192,39832397,476564134,,
4395,32751846,11332,8,362815,3626191,39832310,476559666,6160785538,
4396,32751864,11333,8,362815,3626191,39832315,476560166,,
4397,32758146,11346,8,362815,3626191,39832316,476560248,6160818277,
4398,32758164,11347,8,362815,3626191,39832319,476560546,,
4399,32761845,11356,8,362815,3626193,39832488,476569019,6161166617,
4400,32761854,11357,8,362815,3626193,39832489,476569141,,
4401,32768145,11370,8,362815,3626194,39832580,476573995,,
4402,32768154,11371,8,362815,3626194,39832580,476574019,,
4403,32781456,11376,8,362815,3626194,39832585,476574556,6161411234,
4404,32781465,11377,8,362815,3626194,39832580,476574024,,
4405,32781546,11378,8,362815,3626194,39832580,476574023,,
4406,32781564,11379,8,362815,3626194,39832585,476574535,6161408770,
4407,32781645,11380,8,362815,3626194,39832583,476574323,,
4408,32781654,11381,8,362815,3626194,39832588,476574874,,
4409,32784156,11382,8,362815,3626193,39832492,476569432,,
4410,32784165,11383,8,362815,3626193,39832488,476569010,,
4411,32785146,11388,8,362815,3626192,39832405,476564912,,
4412,32785164,11389,8,362815,3626192,39832408,476565236,6161027912,
4413,32786145,11394,8,362815,3626194,39832583,476574284,,
4414,32786154,11395,8,362815,3626194,39832583,476574326,,
4415,32814675,11403,8,362815,3626193,39832506,476570879,,
4416,32814756,11404,8,362815,3626193,39832506,476570886,,
4417,32814765,11405,8,362815,3626194,39832593,476575407,,
4418,32815674,11409,8,362815,3626194,39832590,476575073,,
4419,32815746,11410,8,362815,3626193,39832503,476570599,,
4420,32815764,11411,8,362815,3626193,39832503,476570596,,
4421,32816475,11413,8,362815,3626193,39832505,476570814,,
4422,32816574,11415,8,362815,3626193,39832502,476570500,,
4423,32816745,11416,8,362815,3626194,39832594,476575513,,
4424,32816754,11417,8,362815,3626194,39832594,476575517,,
4425,32817456,11418,8,362815,3626194,39832593,476575420,,
4426,32817465,11419,8,362815,3626193,39832511,476571409,6161311472,
4427,32817546,11420,8,362815,3626193,39832511,476571409,6161311503,
4428,32817564,11421,8,362815,3626194,39832599,476576030,,
4429,32817645,11422,8,362815,3626194,39832597,476575825,,
4430,32817654,11423,8,362815,3626195,39832691,476581070,,
4431,32841675,11427,8,362815,3626193,39832490,476569254,,
4432,32841756,11428,8,362815,3626193,39832490,476569259,,
4433,32841765,11429,8,362815,3626193,39832497,476569993,,
4434,32845176,11431,4,362815,3626193,39832491,476569324,,
4435,32846175,11437,8,362815,3626191,39832317,476560305,,
4436,32847156,11442,8,362815,3626192,39832401,476564514,,
4437,32847165,11443,8,362815,3626192,39832405,476564985,,
4438,32851674,11451,8,362815,3626192,39832403,476564722,,
4439,32851746,11452,8,362815,3626191,39832315,476560209,,
4440,32851764,11453,8,362815,3626192,39832399,476564369,6160979269,
4441,32854176,11455,4,362815,3626193,39832491,476569344,,
4442,32856174,11461,8,362815,3626192,39832403,476564725,,
4443,32857146,11466,8,362815,3626191,39832318,476560455,6160830739,
4444,32857164,11467,8,362815,3626191,39832319,476560535,6160834437,
4445,32861475,11473,8,362815,3626191,39832318,476560460,6160831614,
4446,32861574,11475,8,362815,3626191,39832319,476560535,6160834342,
4447,32861745,11476,8,362815,3626192,39832410,476565462,,
4448,32861754,11477,8,362815,3626192,39832411,476565565,,
4449,32864175,11479,8,362815,3626191,39832316,476560276,,
4450,32865174,11485,8,362815,3626192,39832397,476564121,,
4451,32867145,11490,8,362815,3626194,39832583,476574305,,
4452,32867154,11491,8,362815,3626194,39832583,476574310,,
4453,32871456,11496,8,362815,3626194,39832585,476574534,,
4454,32871465,11497,8,362815,3626194,39832580,476574022,,
4455,32871546,11498,8,362815,3626194,39832580,476574041,,
4456,32871564,11499,8,362815,3626194,39832583,476574337,,
4457,32871645,11500,8,362815,3626194,39832583,476574351,,
4458,32871654,11501,8,362815,3626194,39832592,476575312,,
4459,32874156,11502,8,362815,3626193,39832492,476569445,,
4460,32874165,11503,8,362815,3626193,39832488,476569040,,
4461,32875146,11508,8,362815,3626192,39832407,476565149,,
4462,32875164,11509,8,362815,3626192,39832410,476565472,6161043698,
4463,32876145,11514,8,362815,3626194,39832585,476574537,,
4464,32876154,11515,8,362815,3626194,39832588,476574876,6161431075,
4465,34127856,11536,2,362815,3626196,39832776,476585290,,
4466,34127865,11537,8,362815,3626196,39832776,476585293,,
4467,34128675,11541,4,362815,3626196,39832777,476585404,,
4468,34157826,11560,4,362815,3626192,39832404,476564864,,
4469,34158726,11566,8,362815,3626192,39832406,476565029,6161015399,
4470,34167825,11584,8,362815,3626193,39832495,476569749,,
4471,34168275,11587,8,362815,3626191,39832315,476560134,,
4472,34168725,11590,8,362815,3626193,39832490,476569177,,
4473,34172856,11596,4,362815,3626192,39832412,476565717,6161060196,
4474,34172865,11597,8,362815,3626192,39832412,476565689,6161057273,
4475,34175826,11602,8,362815,3626191,39832317,476560338,6160823011,
4476,34176825,11608,8,362815,3626193,39832490,476569173,,
4477,34178256,11610,8,362815,3626193,39832491,476569321,,
4478,34178265,11611,8,362815,3626193,39832491,476569313,,
4479,34178526,11612,8,362815,3626192,39832405,476564897,,
4480,34178625,11614,8,362815,3626193,39832494,476569568,,
4481,34182675,11619,8,362815,3626193,39832501,476570342,6161245487,
4482,34182756,11620,8,362815,3626193,39832501,476570344,,
4483,34182765,11621,8,362815,3626193,39832506,476570940,,
4484,34185726,11626,8,362815,3626191,39832319,476560526,,
4485,34186275,11629,8,362815,3626191,39832319,476560548,,
4486,34186725,11632,8,362815,3626193,39832494,476569585,,
4487,34187256,11634,8,362815,3626193,39832491,476569303,,
4488,34187265,11635,8,362815,3626193,39832491,476569341,,
4489,34187526,11636,8,362815,3626192,39832405,476564946,,
4490,34187625,11638,8,362815,3626193,39832495,476569734,,
4491,34217865,11657,4,362815,3626196,39832776,476585294,,
4492,34218675,11661,8,362815,3626196,39832777,476585408,,
4493,34218756,11662,4,362815,3626196,39832776,476585303,,
4494,34268175,11707,8,362815,3626192,39832408,476565230,,
4495,34271865,11717,8,362815,3626193,39832501,476570351,,
4496,34278156,11730,8,362815,3626194,39832583,476574306,6161393651,
4497,34278165,11731,8,362815,3626194,39832583,476574315,,
4498,34281675,11739,8,362815,3626194,39832590,476575054,,
4499,34281756,11740,4,362815,3626194,39832590,476575084,,
4500,34281765,11741,8,362815,3626194,39832600,476576126,6161507064,
4501,34286175,11749,8,362815,3626192,39832412,476565617,,
4502,34287156,11754,8,362815,3626194,39832583,476574273,,
4503,34287165,11755,8,362815,3626194,39832583,476574372,,
4504,34518726,11782,8,362815,3626193,39832495,476569735,,
4505,34571826,11836,8,362815,3626192,39832413,476565774,,
4506,34581726,11860,8,362815,3626192,39832409,476565331,,
4507,34617825,11896,4,362815,3626192,39832399,476564373,,
4508,34618275,11899,8,362815,3626191,39832315,476560167,,
4509,34618725,11902,8,362815,3626192,39832398,476564222,,
4510,34628175,11923,8,362815,3626191,39832320,476560662,,
4511,34671825,11956,8,362815,3626192,39832412,476565692,,
4512,34681275,11977,8,362815,3626192,39832403,476564719,,
4513,34681725,11980,8,362815,3626191,39832316,476560233,,
4514,34682175,11983,8,362815,3626192,39832403,476564695,,
4515,34712865,12005,8,362815,3626193,39832491,476569322,,
4516,34715826,12010,8,362815,3626191,39832299,476558544,,
4517,34716825,12016,8,362815,3626191,39832308,476559393,,
4518,34718256,12018,4,362815,3626192,39832402,476564650,,
4519,34718265,12019,8,362815,3626192,39832402,476564631,,
4520,34718526,12020,8,362815,3626191,39832305,476559092,,
4521,34718625,12022,8,362815,3626191,39832312,476559760,,
4522,34721865,12029,8,362815,3626193,39832491,476569319,,
4523,34728156,12042,8,362815,3626192,39832403,476564684,,
4524,34728165,12043,8,362815,3626192,39832403,476564715,6160996167,
4525,34751826,12052,8,362815,3626191,39832314,476560041,,
4526,34761825,12076,8,362815,3626192,39832401,476564519,6160984617,
4527,34781256,12096,4,362815,3626194,39832578,476573828,,
4528,34781265,12097,8,362815,3626194,39832578,476573806,,
4529,34781526,12098,8,362815,3626192,39832399,476564299,,
4530,34781625,12100,8,362815,3626192,39832401,476564490,6160981498,
4531,34782156,12102,8,362815,3626194,39832578,476573780,,
4532,34782165,12103,8,362815,3626194,39832578,476573789,,
4533,34812675,12123,8,362815,3626194,39832583,476574298,,
4534,34812765,12125,8,362815,3626194,39832587,476574781,6161425727,
4535,34815726,12130,8,362815,3626191,39832308,476559384,6160764089,
4536,34816275,12133,8,362815,3626191,39832313,476559916,6160797022,
4537,34816725,12136,8,362815,3626192,39832398,476564173,,
4538,34817265,12139,8,362815,3626192,39832405,476564942,,
4539,34817526,12140,8,362815,3626191,39832312,476559803,,
4540,34817625,12142,8,362815,3626192,39832398,476564212,6160966373,
4541,34821675,12147,8,362815,3626194,39832583,476574274,,
4542,34821765,12149,8,362815,3626194,39832585,476574590,,
4543,34826175,12157,8,362815,3626191,39832317,476560307,,
4544,34827156,12162,4,362815,3626192,39832404,476564847,,
4545,34827165,12163,8,362815,3626192,39832414,476565878,,
4546,34851726,12172,8,362815,3626191,39832310,476559643,,
4547,34861275,12193,8,362815,3626192,39832399,476564286,,
4548,34861725,12196,8,362815,3626191,39832314,476560040,,
4549,34862175,12199,8,362815,3626192,39832399,476564290,,
4550,34872156,12222,2,362815,3626194,39832578,476573773,,
4551,35148726,12286,8,362815,3626191,39832317,476560343,6160823688,
4552,35168274,12307,8,362815,3626190,39832225,476555310,,
4553,35168724,12310,8,362815,3626192,39832406,476565032,6161015455,
4554,35172846,12316,2,362815,3626191,39832319,476560552,6160835792,
4555,35172864,12317,8,362815,3626190,39832230,476555869,,
4556,35174826,12322,4,362815,3626190,39832213,476554180,,
4557,35176824,12328,8,362815,3626192,39832406,476565032,6161015471,
4558,35178246,12330,8,362815,3626191,39832320,476560667,,
4559,35178264,12331,8,362815,3626191,39832310,476559633,,
4560,35178426,12332,8,362815,3626191,39832307,476559309,,
4561,35178624,12334,8,362815,3626192,39832404,476564820,6161002332,
4562,35182674,12339,4,362815,3626191,39832311,476559719,,
4563,35182764,12341,4,362815,3626191,39832316,476560312,,
4564,35184726,12346,8,362815,3626190,39832218,476554653,,
4565,35186274,12349,8,362815,3626190,39832223,476555149,,
4566,35186724,12352,8,362815,3626192,39832404,476564831,,
4567,35187246,12354,8,362815,3626191,39832316,476560251,,
4568,35187264,12355,8,362815,3626191,39832310,476559641,,
4569,35187426,12356,8,362815,3626191,39832307,476559291,,
4570,35187624,12358,8,362815,3626192,39832409,476565345,,
4571,35218674,12381,8,362815,3626193,39832501,476570348,6161246047,
4572,35218746,12382,4,362815,3626192,39832412,476565680,,
4573,35218764,12383,8,362815,3626193,39832507,476571040,,
4574,35268174,12427,8,362815,3626190,39832230,476555787,,
4575,35271864,12437,4,362815,3626190,39832234,476556220,,
4576,35278146,12450,8,362815,3626191,39832313,476559927,,
4577,35278164,12451,8,362815,3626191,39832316,476560200,6160812569,
4578,35281674,12459,8,362815,3626191,39832319,476560497,,
4579,35281746,12460,4,362815,3626190,39832234,476556245,,
4580,35281764,12461,8,362815,3626191,39832328,476561487,,
4581,35286174,12469,8,362815,3626190,39832226,476555394,6160612717,
4582,35287146,12474,8,362815,3626191,39832312,476559775,6160786551,
4583,35287164,12475,8,362815,3626191,39832316,476560235,6160816485,
