a,pattern,containing_hosts,component_total,component_pairs_tested,separation_failures,max_beta0,first_max_witness
7,1625374,1584,1584,0,0,1,123847596
7,1625437,1581,1584,3,0,2,182547639
7,1625473,1583,1584,1,0,2,182547693
7,1625734,1583,1584,1,0,2,182795634
7,1625743,1583,1584,1,0,2,182794365
7,1627345,1581,1584,3,0,2,162839457
7,1627354,1582,1584,2,0,2,182935476
7,1627435,1582,1584,2,0,2,182943657
7,1627453,1582,1584,2,0,2,182946375
7,1627534,1582,1584,2,0,2,182953746
7,1627543,1582,1584,2,0,2,182954763
7,1632457,1581,1584,3,0,2,183254679
7,1632475,1582,1584,2,0,2,183254697
7,1632547,1581,1584,4,0,3,183254769
7,1632574,1583,1584,1,0,2,183254796
7,1632745,1582,1584,2,0,2,183254967
7,1632754,1582,1584,2,0,2,183254976
7,1634257,1582,1584,2,0,2,183526479
7,1634275,1582,1584,2,0,2,183526497
7,1634527,1580,1584,4,0,2,163845729
7,1634572,1581,1584,3,0,2,163845792
7,1634725,1583,1584,1,0,2,185634927
7,1634752,1583,1584,1,0,2,185634972
7,1635247,1582,1584,2,0,2,183527469
7,1635274,1584,1584,0,0,1,123857496
7,1635427,1582,1584,2,0,2,183547629
7,1635472,1582,1584,2,0,2,183547692
7,1635724,1584,1584,0,0,1,123857946
7,1635742,1584,1584,0,0,1,123857964
7,1637245,1583,1584,1,0,2,183926745
7,1637254,1583,1584,1,0,2,183925476
7,1637425,1584,1584,0,0,1,123859647
7,1637452,1582,1584,2,0,2,163849572
7,1637524,1584,1584,0,0,1,123859746
7,1637542,1583,1584,1,0,2,183954762
7,1642357,1582,1584,2,0,2,184263579
7,1642375,1582,1584,2,0,2,184263597
7,1642537,1582,1584,2,0,2,184263759
7,1642573,1584,1584,0,0,1,123864795
7,1642735,1584,1584,0,0,1,123864957
7,1642753,1583,1584,1,0,2,186492753
7,1643257,1581,1584,3,0,2,184365279
7,1643275,1581,1584,3,0,2,184365297
7,1643527,1582,1584,2,0,2,184365729
7,1643572,1582,1584,2,0,2,184365792
7,1643725,1582,1584,2,0,2,184365927
7,1643752,1582,1584,2,0,2,184365972
7,1645237,1580,1584,5,0,3,186745239
7,1645273,1582,1584,2,0,2,164857293
7,1645327,1580,1584,4,0,2,164857329
7,1645372,1581,1584,3,0,2,164857392
7,1645723,1581,1584,3,0,2,164857923
7,1645732,1581,1584,3,0,2,164857932
7,1647235,1583,1584,1,0,2,186945237
7,1647253,1583,1584,1,0,2,186947253
7,1647325,1583,1584,1,0,2,186932547
7,1647352,1583,1584,1,0,2,186947352
7,1647523,1581,1584,3,0,2,164859723
7,1647532,1581,1584,3,0,2,164859732
7,1652347,1580,1584,4,0,2,165872349
7,1652374,1582,1584,2,0,2,165872394
7,1652437,1581,1584,3,0,2,165872439
7,1652473,1583,1584,1,0,2,165872493
7,1652734,1582,1584,2,0,2,165872934
7,1652743,1582,1584,2,0,2,165872943
7,1653247,1581,1584,3,0,2,165873249
7,1653274,1582,1584,2,0,2,165873294
7,1653427,1580,1584,4,0,2,165873429
7,1653472,1581,1584,3,0,2,165873492
7,1653724,1583,1584,1,0,2,165873924
7,1653742,1583,1584,1,0,2,165873942
7,1654237,1580,1584,4,0,2,165874239
7,1654273,1582,1584,2,0,2,165874293
7,1654327,1578,1584,6,0,2,165874329
7,1654372,1580,1584,4,0,2,165874392
7,1654723,1580,1584,4,0,2,165874923
7,1654732,1580,1584,4,0,2,165874932
7,1657234,1580,1584,4,0,2,165879234
7,1657243,1580,1584,4,0,2,165879243
7,1657324,1580,1584,4,0,2,165879324
7,1657342,1580,1584,4,0,2,165879342
7,1657423,1580,1584,4,0,2,165879423
7,1657432,1580,1584,4,0,2,165879432
7,1672345,1579,1584,5,0,2,168293457
7,1672354,1580,1584,4,0,2,189235476
7,1672435,1580,1584,4,0,2,189243657
7,1672453,1581,1584,3,0,2,189246375
7,1672534,1581,1584,3,0,2,189253746
7,1672543,1580,1584,4,0,2,189254763
7,1673245,1580,1584,4,0,2,189325467
7,1673254,1580,1584,5,0,3,189325476
7,1673425,1581,1584,3,0,2,189352647
7,1673452,1579,1584,5,0,2,168394572
7,1673524,1581,1584,3,0,2,189352746
7,1673542,1581,1584,3,0,2,189354762
7,1674235,1581,1584,3,0,2,189426357
7,1674253,1581,1584,3,0,2,189426375
7,1674325,1580,1584,4,0,2,189436527
7,1674352,1581,1584,3,0,2,189436572
7,1674523,1579,1584,8,0,4,189674523
7,1674532,1579,1584,6,0,3,189674532
7,1675234,1579,1584,5,0,2,168597234
7,1675243,1580,1584,4,0,2,168597243
7,1675324,1580,1584,4,0,2,168597324
7,1675342,1579,1584,5,0,2,168597342
7,1675423,1579,1584,5,0,2,168597423
7,1675432,1579,1584,5,0,2,168597432
7,1723456,1579,1584,5,0,2,172934568
7,1723465,1580,1584,4,0,2,192346587
7,1723546,1580,1584,4,0,2,192354768
7,1723564,1581,1584,3,0,2,192357486
7,1723645,1581,1584,3,0,2,192364857
7,1723654,1580,1584,4,0,2,192365874
7,1724356,1580,1584,4,0,2,192436578
7,1724365,1580,1584,5,0,3,192436587
7,1724536,1582,1584,2,0,2,192463758
7,1724563,1581,1584,3,0,2,192467385
7,1724635,1582,1584,2,0,2,192463857
7,1724653,1582,1584,2,0,2,192465873
7,1725346,1582,1584,2,0,2,192537468
7,1725364,1582,1584,2,0,2,192537486
7,1725436,1580,1584,4,0,2,192547638
7,1725463,1582,1584,2,0,2,192547683
7,1725634,1581,1584,4,0,3,192785634
7,1725643,1581,1584,3,0,2,192574863
7,1726345,1581,1584,3,0,2,192638457
7,1726354,1582,1584,2,0,2,192835476
7,1726435,1582,1584,2,0,2,192843657
7,1726453,1581,1584,3,0,2,192648573
7,1726534,1581,1584,3,0,2,192658734
7,1726543,1580,1584,4,0,2,192658743
7,1732456,1580,1584,4,0,2,193247856
7,1732465,1580,1584,4,0,2,193246587
7,1732546,1580,1584,5,0,3,193254768
7,1732564,1581,1584,3,0,2,193254786
7,1732645,1581,1584,3,0,2,193254867
7,1732654,1580,1584,4,0,2,193254876
7,1734256,1581,1584,3,0,2,193427856
7,1734265,1581,1584,3,0,2,193426587
7,1734526,1581,1584,3,0,2,193562748
7,1734562,1579,1584,5,0,2,173945682
7,1734625,1583,1584,1,0,2,195634827
7,1734652,1581,1584,3,0,2,193465872
7,1735246,1582,1584,2,0,2,193527468
7,1735264,1583,1584,1,0,2,193527486
7,1735426,1582,1584,2,0,2,193547628
7,1735462,1581,1584,3,0,2,193547682
7,1735624,1582,1584,2,0,2,193572846
7,1735642,1582,1584,2,0,2,193574862
7,1736245,1583,1584,1,0,2,193826745
7,1736254,1582,1584,2,0,2,193825476
7,1736425,1584,1584,0,0,1,123958647
7,1736452,1582,1584,2,0,2,193648572
7,1736524,1583,1584,1,0,2,193658724
7,1736542,1581,1584,3,0,2,193658742
7,1742356,1581,1584,3,0,2,194237856
7,1742365,1581,1584,3,0,2,194236587
7,1742536,1582,1584,2,0,2,194263758
7,1742563,1583,1584,1,0,2,194278563
7,1742635,1583,1584,1,0,2,194263857
7,1742653,1582,1584,2,0,2,194265873
7,1743256,1580,1584,4,0,2,194327856
7,1743265,1580,1584,4,0,2,194326587
7,1743526,1582,1584,2,0,2,194365728
7,1743562,1581,1584,3,0,2,194365782
7,1743625,1582,1584,2,0,2,194365827
7,1743652,1581,1584,4,0,3,194365872
7,1745236,1581,1584,4,0,3,196745238
7,1745263,1582,1584,2,0,2,194627385
7,1745326,1581,1584,3,0,2,194637528
7,1745362,1582,1584,2,0,2,194637582
7,1745623,1579,1584,5,0,2,174956823
7,1745632,1579,1584,5,0,2,174956832
7,1746235,1582,1584,2,0,2,194628357
7,1746253,1583,1584,1,0,2,196847253
7,1746325,1583,1584,1,0,2,196832547
7,1746352,1582,1584,2,0,2,194638572
7,1746523,1581,1584,3,0,2,194658723
7,1746532,1581,1584,3,0,2,194658732
7,1752346,1581,1584,3,0,2,195273468
7,1752364,1583,1584,1,0,2,197452386
7,1752436,1582,1584,2,0,2,197243658
7,1752463,1584,1584,0,0,1,123974685
7,1752634,1582,1584,2,0,2,195273846
7,1752643,1583,1584,1,0,2,197284365
7,1753246,1582,1584,2,0,2,197325468
7,1753264,1582,1584,2,0,2,197325486
7,1753426,1581,1584,3,0,2,195374628
7,1753462,1582,1584,2,0,2,195374682
7,1753624,1583,1584,1,0,2,197583624
7,1753642,1582,1584,2,0,2,195374862
7,1754236,1581,1584,3,0,2,195476238
7,1754263,1583,1584,1,0,2,195476283
7,1754326,1580,1584,4,0,2,195476328
7,1754362,1581,1584,3,0,2,195476382
7,1754623,1581,1584,3,0,2,195476823
7,1754632,1581,1584,3,0,2,195476832
7,1756234,1579,1584,5,0,2,175968234
7,1756243,1580,1584,4,0,2,175968243
7,1756324,1580,1584,4,0,2,175968324
7,1756342,1579,1584,6,0,3,197856342
7,1756423,1579,1584,5,0,2,175968423
7,1756432,1579,1584,5,0,2,175968432
7,1762345,1579,1584,5,0,2,176982345
7,1762354,1580,1584,4,0,2,176982354
7,1762435,1580,1584,4,0,2,176982435
7,1762453,1581,1584,3,0,2,176982453
7,1762534,1581,1584,3,0,2,176982534
7,1762543,1580,1584,4,0,2,176982543
7,1763245,1580,1584,4,0,2,176983245
7,1763254,1580,1584,5,0,3,198325476
7,1763425,1581,1584,3,0,2,176983425
7,1763452,1579,1584,5,0,2,176983452
7,1763524,1581,1584,3,0,2,176983524
7,1763542,1581,1584,3,0,2,176983542
7,1764235,1581,1584,3,0,2,176984235
7,1764253,1581,1584,3,0,2,176984253
7,1764325,1580,1584,4,0,2,176984325
7,1764352,1581,1584,3,0,2,176984352
7,1764523,1579,1584,6,0,3,198674523
7,1764532,1579,1584,5,0,2,176984532
7,1765234,1579,1584,5,0,2,176985234
7,1765243,1580,1584,4,0,2,176985243
7,1765324,1580,1584,4,0,2,176985324
7,1765342,1579,1584,5,0,2,176985342
7,1765423,1579,1584,5,0,2,176985423
7,1765432,1578,1584,6,0,2,176985432
7,2134567,1578,1584,6,0,2,213458967
7,2134576,1578,1584,6,0,2,213457698
7,2134657,1578,1584,6,0,2,213465879
7,2134675,1579,1584,5,0,2,213468597
7,2134756,1579,1584,5,0,2,213475968
7,2134765,1578,1584,6,0,2,213476985
7,2135467,1578,1584,6,0,2,213547689
7,2135476,1578,1584,7,0,3,213547698
7,2135647,1580,1584,4,0,2,213574869
7,2135674,1579,1584,5,0,2,213578496
7,2135746,1580,1584,4,0,2,213574968
7,2135764,1580,1584,4,0,2,213576984
7,2136457,1580,1584,4,0,2,213648579
7,2136475,1580,1584,4,0,2,213648597
7,2136547,1578,1584,6,0,2,213658749
7,2136574,1580,1584,4,0,2,213658794
7,2136745,1579,1584,6,0,3,213896745
7,2136754,1579,1584,5,0,2,213685974
7,2137456,1579,1584,5,0,2,213749568
7,2137465,1580,1584,4,0,2,213946587
7,2137546,1580,1584,4,0,2,213954768
7,2137564,1579,1584,5,0,2,213759684
7,2137645,1579,1584,5,0,2,213769845
7,2137654,1578,1584,6,0,2,213769854
7,2143567,1578,1584,7,0,3,214365789
7,2143576,1578,1584,7,0,3,214365798
7,2143657,1578,1584,9,0,4,214365879
7,2143675,1579,1584,6,0,3,214365897
7,2143756,1579,1584,6,0,3,214365978
7,2143765,1578,1584,7,0,3,214365987
7,2145367,1580,1584,4,0,2,214367589
7,2145376,1580,1584,4,0,2,214367598
7,2145637,1580,1584,4,0,2,214367859
7,2145673,1579,1584,5,0,2,214367895
7,2145736,1582,1584,2,0,2,214367958
7,2145763,1580,1584,4,0,2,214367985
7,2146357,1581,1584,3,0,2,214368579
7,2146375,1582,1584,2,0,2,214368597
7,2146537,1581,1584,3,0,2,214368759
7,2146573,1580,1584,4,0,2,214368795
7,2146735,1581,1584,3,0,2,214368957
7,2146753,1581,1584,3,0,2,214368975
7,2147356,1582,1584,2,0,2,214369578
7,2147365,1581,1584,3,0,2,214369587
7,2147536,1583,1584,1,0,2,214369758
7,2147563,1581,1584,3,0,2,214369785
7,2147635,1582,1584,2,0,2,214369857
7,2147653,1580,1584,4,0,2,214369875
7,2153467,1580,1584,4,0,2,214375689
7,2153476,1580,1584,4,0,2,214375698
7,2153647,1581,1584,3,0,2,214375869
7,2153674,1582,1584,2,0,2,214375896
7,2153746,1582,1584,2,0,2,214375968
7,2153764,1581,1584,3,0,2,214375986
7,2154367,1578,1584,6,0,2,214376589
7,2154376,1578,1584,6,0,2,214376598
7,2154637,1581,1584,3,0,2,214376859
7,2154673,1580,1584,4,0,2,214376895
7,2154736,1581,1584,3,0,2,214376958
7,2154763,1580,1584,5,0,3,215476983
7,2156347,1580,1584,5,0,3,217856349
7,2156374,1581,1584,3,0,2,214378596
7,2156437,1580,1584,4,0,2,214378659
7,2156473,1581,1584,3,0,2,214378695
7,2156734,1579,1584,5,0,2,214378956
7,2156743,1579,1584,5,0,2,214378965
7,2157346,1581,1584,3,0,2,214379568
7,2157364,1582,1584,2,0,2,214379586
7,2157436,1582,1584,2,0,2,214379658
7,2157463,1581,1584,3,0,2,214379685
7,2157634,1580,1584,4,0,2,214379856
7,2157643,1580,1584,4,0,2,214379865
7,2163457,1580,1584,4,0,2,214385679
7,2163475,1582,1584,2,0,2,214385697
7,2163547,1581,1584,3,0,2,214385769
7,2163574,1583,1584,1,0,2,214385796
7,2163745,1581,1584,3,0,2,214385967
7,2163754,1582,1584,2,0,2,214385976
7,2164357,1581,1584,3,0,2,214386579
7,2164375,1581,1584,3,0,2,214386597
7,2164537,1580,1584,4,0,2,214386759
7,2164573,1581,1584,3,0,2,214386795
7,2164735,1582,1584,2,0,2,214386957
7,2164753,1581,1584,3,0,2,214386975
7,2165347,1580,1584,4,0,2,214387569
7,2165374,1582,1584,2,0,2,214387596
7,2165437,1578,1584,6,0,2,214387659
7,2165473,1580,1584,4,0,2,214387695
7,2165734,1580,1584,4,0,2,214387956
7,2165743,1580,1584,4,0,2,214387965
7,2167345,1579,1584,5,0,2,214389567
7,2167354,1580,1584,4,0,2,214389576
7,2167435,1580,1584,4,0,2,214389657
7,2167453,1579,1584,6,0,3,218967453
7,2167534,1579,1584,5,0,2,214389756
7,2167543,1579,1584,5,0,2,214389765
7,2173456,1579,1584,5,0,2,214395678
7,2173465,1580,1584,4,0,2,214395687
7,2173546,1580,1584,4,0,2,214395768
7,2173564,1581,1584,3,0,2,214395786
7,2173645,1581,1584,3,0,2,214395867
7,2173654,1580,1584,4,0,2,214395876
7,2174356,1580,1584,4,0,2,214396578
7,2174365,1580,1584,5,0,3,219436587
7,2174536,1581,1584,3,0,2,214396758
7,2174563,1579,1584,5,0,2,214396785
7,2174635,1581,1584,3,0,2,214396857
7,2174653,1581,1584,3,0,2,214396875
7,2175346,1581,1584,3,0,2,214397568
7,2175364,1581,1584,3,0,2,214397586
7,2175436,1580,1584,4,0,2,214397658
7,2175463,1581,1584,3,0,2,214397685
7,2175634,1579,1584,6,0,3,219785634
7,2175643,1579,1584,5,0,2,214397865
7,2176345,1579,1584,5,0,2,214398567
7,2176354,1580,1584,4,0,2,214398576
7,2176435,1580,1584,4,0,2,214398657
7,2176453,1579,1584,5,0,2,214398675
7,2176534,1579,1584,5,0,2,214398756
7,2176543,1578,1584,6,0,2,214398765
7,2314567,1579,1584,5,0,2,231458967
7,2314576,1579,1584,5,0,2,231457698
7,2314657,1579,1584,5,0,2,231465879
7,2314675,1580,1584,4,0,2,231468597
7,2314756,1580,1584,4,0,2,231475968
7,2314765,1579,1584,5,0,2,231476985
7,2315467,1579,1584,5,0,2,231547689
7,2315476,1579,1584,6,0,3,231547698
7,2315647,1580,1584,4,0,2,231574869
7,2315674,1579,1584,5,0,2,231578496
7,2315746,1580,1584,4,0,2,231574968
7,2315764,1580,1584,4,0,2,231576984
7,2316457,1580,1584,4,0,2,231648579
7,2316475,1580,1584,4,0,2,231648597
7,2316547,1579,1584,5,0,2,231658749
7,2316574,1580,1584,4,0,2,231658794
7,2316745,1579,1584,6,0,3,231896745
7,2316754,1579,1584,5,0,2,231685974
7,2317456,1579,1584,5,0,2,231749568
7,2317465,1580,1584,4,0,2,231946587
7,2317546,1580,1584,4,0,2,231954768
7,2317564,1579,1584,5,0,2,231759684
7,2317645,1579,1584,5,0,2,231769845
7,2317654,1579,1584,5,0,2,231769854
7,2341567,1579,1584,5,0,2,234158967
7,2341576,1579,1584,5,0,2,234157698
7,2341657,1579,1584,5,0,2,234165879
7,2341675,1579,1584,5,0,2,234168597
7,2341756,1579,1584,5,0,2,234175968
7,2341765,1579,1584,5,0,2,234176985
7,2345167,1579,1584,5,0,2,234518967
7,2345176,1579,1584,5,0,2,234517698
7,2345617,1579,1584,5,0,2,234785619
7,2345671,1578,1584,6,0,2,234589671
7,2345716,1581,1584,3,0,2,236745918
7,2345761,1579,1584,5,0,2,234576981
7,2346157,1582,1584,2,0,2,256348179
7,2346175,1582,1584,2,0,2,256348197
7,2346517,1580,1584,4,0,2,234658719
7,2346571,1579,1584,5,0,2,234658791
7,2346715,1581,1584,3,0,2,234896715
7,2346751,1580,1584,4,0,2,234685971
7,2347156,1581,1584,3,0,2,234917856
7,2347165,1581,1584,3,0,2,234916587
7,2347516,1582,1584,2,0,2,256349718
7,2347561,1580,1584,4,0,2,234759681
7,2347615,1581,1584,3,0,2,234769815
7,2347651,1579,1584,5,0,2,234769851
7,2351467,1582,1584,2,0,2,235148967
7,2351476,1582,1584,2,0,2,235147698
7,2351647,1583,1584,1,0,2,452371869
7,2351674,1582,1584,2,0,2,235189674
7,2351746,1583,1584,1,0,2,452371968
7,2351764,1582,1584,2,0,2,235176984
7,2354167,1580,1584,4,0,2,235418967
7,2354176,1580,1584,4,0,2,235417698
7,2354617,1580,1584,4,0,2,235476819
7,2354671,1579,1584,5,0,2,235476891
7,2354716,1581,1584,3,0,2,235476918
7,2354761,1579,1584,6,0,3,235476981
7,2356147,1582,1584,2,0,2,237856149
7,2356174,1582,1584,2,0,2,237856194
7,2356417,1581,1584,3,0,2,235748619
7,2356471,1581,1584,3,0,2,235748691
7,2356714,1581,1584,3,0,2,235896714
7,2356741,1580,1584,4,0,2,235784961
7,2357146,1583,1584,1,0,2,452379168
7,2357164,1583,1584,1,0,2,452379186
7,2357416,1583,1584,1,0,2,452379618
7,2357461,1581,1584,3,0,2,235749681
7,2357614,1581,1584,3,0,2,235769814
7,2357641,1581,1584,3,0,2,235769841
7,2361457,1582,1584,2,0,2,238167459
7,2361475,1583,1584,1,0,2,452381697
7,2361547,1582,1584,2,0,2,238154769
7,2361574,1583,1584,1,0,2,452381796
7,2361745,1582,1584,2,0,2,238196745
7,2361754,1582,1584,2,0,2,238195476
7,2364157,1583,1584,1,0,2,452386179
7,2364175,1583,1584,1,0,2,452386197
7,2364517,1581,1584,3,0,2,236485719
7,2364571,1581,1584,3,0,2,236485791
7,2364715,1583,1584,1,0,2,452386917
7,2364751,1581,1584,3,0,2,236485971
7,2365147,1582,1584,2,0,2,236587149
7,2365174,1582,1584,2,0,2,236587194
7,2365417,1580,1584,4,0,2,236587419
7,2365471,1579,1584,5,0,2,236587491
7,2365714,1581,1584,3,0,2,236587914
7,2365741,1581,1584,3,0,2,236587941
7,2367145,1581,1584,3,0,2,238916745
7,2367154,1581,1584,3,0,2,238915476
7,2367415,1582,1584,2,0,2,238967415
7,2367451,1580,1584,5,0,3,238967451
7,2367514,1581,1584,3,0,2,236859714
7,2367541,1580,1584,4,0,2,236859741
7,2371456,1581,1584,3,0,2,239147856
7,2371465,1581,1584,3,0,2,239146587
7,2371546,1581,1584,3,0,2,239154768
7,2371564,1581,1584,3,0,2,239157486
7,2371645,1581,1584,3,0,2,239164857
7,2371654,1581,1584,3,0,2,239165874
7,2374156,1582,1584,2,0,2,239417856
7,2374165,1582,1584,2,0,2,239416587
7,2374516,1582,1584,2,0,2,239674518
7,2374561,1580,1584,4,0,2,237495681
7,2374615,1583,1584,1,0,2,452396817
7,2374651,1581,1584,3,0,2,239465871
7,2375146,1583,1584,1,0,2,452397168
7,2375164,1583,1584,1,0,2,452397186
7,2375416,1582,1584,2,0,2,239547618
7,2375461,1581,1584,3,0,2,239547681
7,2375614,1581,1584,3,0,2,237596814
7,2375641,1580,1584,4,0,2,237596841
7,2376145,1581,1584,3,0,2,237698145
7,2376154,1581,1584,3,0,2,237698154
7,2376415,1582,1584,2,0,2,237698415
7,2376451,1580,1584,4,0,2,237698451
7,2376514,1581,1584,3,0,2,237698514
7,2376541,1579,1584,5,0,2,237698541
7,2413567,1580,1584,4,0,2,241358967
7,2413576,1580,1584,4,0,2,241357698
7,2413657,1580,1584,4,0,2,241365879
7,2413675,1580,1584,4,0,2,241368597
7,2413756,1580,1584,4,0,2,241375968
7,2413765,1580,1584,4,0,2,241376985
7,2415367,1582,1584,2,0,2,241538967
7,2415376,1582,1584,2,0,2,241537698
7,2415637,1583,1584,1,0,2,241785639
7,2415673,1582,1584,2,0,2,241589673
7,2415736,1584,1584,0,0,1,124637958
7,2415763,1582,1584,2,0,2,241576983
7,2416357,1583,1584,1,0,2,241638579
7,2416375,1583,1584,1,0,2,241638597
7,2416537,1583,1584,1,0,2,241658739
7,2416573,1582,1584,2,0,2,241658793
7,2416735,1583,1584,1,0,2,241896735
7,2416753,1582,1584,2,0,2,241685973
7,2417356,1583,1584,1,0,2,241937856
7,2417365,1583,1584,1,0,2,241936587
7,2417536,1584,1584,0,0,1,124639758
7,2417563,1582,1584,2,0,2,241759683
7,2417635,1583,1584,1,0,2,241769835
7,2417653,1582,1584,2,0,2,241769853
7,2431567,1580,1584,4,0,2,243158967
7,2431576,1580,1584,4,0,2,243157698
7,2431657,1580,1584,4,0,2,243165879
7,2431675,1580,1584,4,0,2,243168597
7,2431756,1580,1584,4,0,2,243175968
7,2431765,1580,1584,4,0,2,243176985
7,2435167,1580,1584,4,0,2,243518967
7,2435176,1580,1584,4,0,2,243517698
7,2435617,1580,1584,4,0,2,243657819
7,2435671,1579,1584,5,0,2,243589671
7,2435716,1581,1584,3,0,2,243657918
7,2435761,1579,1584,5,0,2,243576981
7,2436157,1582,1584,2,0,2,243658179
7,2436175,1582,1584,2,0,2,243658197
7,2436517,1580,1584,5,0,3,243658719
7,2436571,1579,1584,6,0,3,243658791
7,2436715,1581,1584,3,0,2,243658917
7,2436751,1580,1584,4,0,2,243658971
7,2437156,1581,1584,3,0,2,243659178
7,2437165,1581,1584,3,0,2,243659187
7,2437516,1582,1584,2,0,2,243659718
7,2437561,1580,1584,4,0,2,243659781
7,2437615,1581,1584,3,0,2,243659817
7,2437651,1579,1584,5,0,2,243659871
7,2451367,1581,1584,3,0,2,245138967
7,2451376,1581,1584,3,0,2,245137698
7,2451637,1582,1584,2,0,2,246173859
7,2451673,1582,1584,2,0,2,245189673
7,2451736,1583,1584,1,0,2,267451938
7,2451763,1582,1584,2,0,2,245176983
7,2453167,1581,1584,3,0,2,245318967
7,2453176,1581,1584,3,0,2,245317698
7,2453617,1582,1584,2,0,2,246375819
7,2453671,1581,1584,3,0,2,245389671
7,2453716,1582,1584,2,0,2,246375918
7,2453761,1581,1584,3,0,2,245376981
7,2456137,1581,1584,3,0,2,246718359
7,2456173,1581,1584,3,0,2,246718395
7,2456317,1581,1584,3,0,2,246738519
7,2456371,1581,1584,3,0,2,246738591
7,2456713,1580,1584,4,0,2,245896713
7,2456731,1580,1584,4,0,2,245896731
7,2457136,1583,1584,1,0,2,267459138
7,2457163,1583,1584,1,0,2,267459183
7,2457316,1583,1584,1,0,2,267459318
7,2457361,1583,1584,1,0,2,267459381
7,2457613,1581,1584,3,0,2,245769813
7,2457631,1581,1584,3,0,2,245769831
7,2461357,1583,1584,1,0,2,246183579
7,2461375,1584,1584,0,0,1,124683597
7,2461537,1584,1584,0,0,1,124683759
7,2461573,1584,1584,0,0,1,124683795
7,2461735,1583,1584,1,0,2,246183957
7,2461753,1584,1584,0,0,1,124683975
7,2463157,1584,1584,0,0,1,124685379
7,2463175,1584,1584,0,0,1,124685397
7,2463517,1582,1584,2,0,2,246385719
7,2463571,1582,1584,2,0,2,246385791
7,2463715,1584,1584,0,0,1,124685937
7,2463751,1583,1584,1,0,2,246385971
7,2465137,1582,1584,2,0,2,246587139
7,2465173,1582,1584,2,0,2,246587193
7,2465317,1582,1584,2,0,2,246587319
7,2465371,1582,1584,2,0,2,246587391
7,2465713,1581,1584,3,0,2,246587913
7,2465731,1581,1584,3,0,2,246587931
7,2467135,1582,1584,2,0,2,246819357
7,2467153,1583,1584,1,0,2,248967153
7,2467315,1583,1584,1,0,2,248967315
7,2467351,1582,1584,2,0,2,246839571
7,2467513,1582,1584,2,0,2,246859713
7,2467531,1582,1584,2,0,2,246859731
7,2471356,1583,1584,1,0,2,249137856
7,2471365,1583,1584,1,0,2,249136587
7,2471536,1584,1584,0,0,1,124693758
7,2471563,1583,1584,1,0,2,249178563
7,2471635,1584,1584,0,0,1,124693857
7,2471653,1583,1584,1,0,2,249165873
7,2473156,1583,1584,1,0,2,249317856
7,2473165,1583,1584,1,0,2,249316587
7,2473516,1584,1584,0,0,1,124695738
7,2473561,1583,1584,1,0,2,249378561
7,2473615,1584,1584,0,0,1,124695837
7,2473651,1582,1584,2,0,2,249365871
7,2475136,1584,1584,0,0,1,124697358
7,2475163,1584,1584,0,0,1,124697385
7,2475316,1584,1584,0,0,1,124697538
7,2475361,1584,1584,0,0,1,124697583
7,2475613,1582,1584,2,0,2,247596813
7,2475631,1582,1584,2,0,2,247596831
7,2476135,1583,1584,1,0,2,247698135
7,2476153,1583,1584,1,0,2,247698153
7,2476315,1583,1584,1,0,2,247698315
7,2476351,1583,1584,1,0,2,247698351
7,2476513,1581,1584,3,0,2,247698513
7,2476531,1581,1584,3,0,2,247698531
7,2513467,1582,1584,2,0,2,251348967
7,2513476,1582,1584,2,0,2,251347698
7,2513647,1584,1584,0,0,1,124735869
7,2513674,1583,1584,1,0,2,251389674
7,2513746,1584,1584,0,0,1,124735968
7,2513764,1583,1584,1,0,2,251376984
7,2514367,1581,1584,3,0,2,251438967
7,2514376,1581,1584,3,0,2,251437698
7,2514637,1584,1584,0,0,1,124736859
7,2514673,1583,1584,1,0,2,251489673
7,2514736,1584,1584,0,0,1,124736958
7,2514763,1583,1584,1,0,2,251476983
7,2516347,1583,1584,1,0,2,271856349
7,2516374,1584,1584,0,0,1,124738596
7,2516437,1583,1584,1,0,2,271843659
7,2516473,1584,1584,0,0,1,124738695
7,2516734,1582,1584,2,0,2,251896734
7,2516743,1582,1584,2,0,2,251896743
7,2517346,1583,1584,1,0,2,271956348
7,2517364,1584,1584,0,0,1,124739586
7,2517436,1583,1584,1,0,2,271943658
7,2517463,1584,1584,0,0,1,124739685
7,2517634,1582,1584,2,0,2,251769834
7,2517643,1582,1584,2,0,2,251769843
7,2531467,1583,1584,1,0,2,253148967
7,2531476,1583,1584,1,0,2,253147698
7,2531647,1584,1584,0,0,1,124753869
7,2531674,1583,1584,1,0,2,253189674
7,2531746,1584,1584,0,0,1,124753968
7,2531764,1583,1584,1,0,2,253176984
7,2534167,1581,1584,3,0,2,253418967
7,2534176,1581,1584,3,0,2,253417698
7,2534617,1582,1584,2,0,2,253746819
7,2534671,1581,1584,3,0,2,253489671
7,2534716,1582,1584,2,0,2,253746918
7,2534761,1581,1584,3,0,2,253476981
7,2536147,1584,1584,0,0,1,124758369
7,2536174,1584,1584,0,0,1,124758396
7,2536417,1582,1584,2,0,2,253748619
7,2536471,1582,1584,2,0,2,253748691
7,2536714,1583,1584,1,0,2,253896714
7,2536741,1583,1584,1,0,2,253896741
7,2537146,1584,1584,0,0,1,124759368
7,2537164,1584,1584,0,0,1,124759386
7,2537416,1584,1584,0,0,1,124759638
7,2537461,1583,1584,1,0,2,253749681
7,2537614,1583,1584,1,0,2,253769814
